,occ_code,occ_title,o_group,tot_emp,area
1537,11-0000,Management Occupations,major,205900,37
1538,13-0000,Business and Financial Operations Occupations,major,232620,37
1539,15-0000,Computer and Mathematical Occupations,major,143990,37
1540,17-0000,Architecture and Engineering Occupations,major,68290,37
1541,19-0000,"Life, Physical, and Social Science Occupations",major,39530,37
1542,21-0000,Community and Social Service Occupations,major,55520,37
1543,23-0000,Legal Occupations,major,26290,37
1544,25-0000,Educational Instruction and Library Occupations,major,278130,37
1545,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,44330,37
1546,29-0000,Healthcare Practitioners and Technical Occupations,major,276020,37
1547,31-0000,Healthcare Support Occupations,major,177750,37
1548,33-0000,Protective Service Occupations,major,99810,37
1549,35-0000,Food Preparation and Serving Related Occupations,major,429910,37
1550,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,133740,37
1551,39-0000,Personal Care and Service Occupations,major,95430,37
1552,41-0000,Sales and Related Occupations,major,479880,37
1553,43-0000,Office and Administrative Support Occupations,major,556600,37
1554,45-0000,"Farming, Fishing, and Forestry Occupations",major,7740,37
1555,47-0000,Construction and Extraction Occupations,major,180690,37
1556,49-0000,"Installation, Maintenance, and Repair Occupations",major,189790,37
1557,51-0000,Production Occupations,major,340230,37
1558,53-0000,Transportation and Material Moving Occupations,major,400610,37
24159,11-1011,Chief Executives,detailed,3490,37
24160,11-1021,General and Operations Managers,detailed,57480,37
24161,11-2011,Advertising and Promotions Managers,detailed,230,37
24162,11-2021,Marketing Managers,detailed,7130,37
24163,11-2022,Sales Managers,detailed,7640,37
24164,11-2030,Public Relations and Fundraising Managers,detailed,1450,37
24165,11-3010,Administrative Services and Facilities Managers,detailed,5180,37
24166,11-3021,Computer and Information Systems Managers,detailed,14010,37
24167,11-3031,Financial Managers,detailed,16680,37
24168,11-3051,Industrial Production Managers,detailed,5900,37
24169,11-3061,Purchasing Managers,detailed,2360,37
24170,11-3071,"Transportation, Storage, and Distribution Managers",detailed,2720,37
24171,11-3111,Compensation and Benefits Managers,detailed,530,37
24172,11-3121,Human Resources Managers,detailed,3840,37
24173,11-3131,Training and Development Managers,detailed,1080,37
24174,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",detailed,50,37
24175,11-9021,Construction Managers,detailed,13500,37
24176,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,1690,37
24177,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,8390,37
24178,11-9033,"Education Administrators, Postsecondary",detailed,4870,37
24179,11-9039,"Education Administrators, All Other",detailed,1310,37
24180,11-9041,Architectural and Engineering Managers,detailed,4620,37
24181,11-9051,Food Service Managers,detailed,5730,37
24182,11-9071,Gambling Managers,detailed,40,37
24183,11-9081,Lodging Managers,detailed,410,37
24184,11-9111,Medical and Health Services Managers,detailed,10000,37
24185,11-9121,Natural Sciences Managers,detailed,3390,37
24186,11-9131,Postmasters and Mail Superintendents,detailed,480,37
24187,11-9141,"Property, Real Estate, and Community Association Managers",detailed,6410,37
24188,11-9151,Social and Community Service Managers,detailed,2660,37
24189,11-9161,Emergency Management Directors,detailed,210,37
24190,11-9171,Funeral Home Managers,detailed,230,37
24191,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,12160,37
24192,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,380,37
24193,13-1020,Buyers and Purchasing Agents,detailed,12700,37
24194,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,8720,37
24195,13-1032,"Insurance Appraisers, Auto Damage",detailed,250,37
24196,13-1041,Compliance Officers,detailed,7550,37
24197,13-1051,Cost Estimators,detailed,6360,37
24198,13-1071,Human Resources Specialists,detailed,19070,37
24199,13-1075,Labor Relations Specialists,detailed,840,37
24200,13-1081,Logisticians,detailed,4800,37
24201,13-1111,Management Analysts,detailed,17600,37
24202,13-1121,"Meeting, Convention, and Event Planners",detailed,3220,37
24203,13-1131,Fundraisers,detailed,2090,37
24204,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,2250,37
24205,13-1151,Training and Development Specialists,detailed,9480,37
24206,13-1161,Market Research Analysts and Marketing Specialists,detailed,18430,37
24207,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,34530,37
24208,13-2011,Accountants and Auditors,detailed,33750,37
24209,13-2020,Property Appraisers and Assessors,detailed,1800,37
24210,13-2031,Budget Analysts,detailed,1180,37
24211,13-2041,Credit Analysts,detailed,2530,37
24212,13-2052,Personal Financial Advisors,detailed,7690,37
24213,13-2053,Insurance Underwriters,detailed,2700,37
24214,13-2061,Financial Examiners,detailed,4310,37
24215,13-2071,Credit Counselors,detailed,570,37
24216,13-2072,Loan Officers,detailed,13680,37
24217,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,**,37
24218,13-2082,Tax Preparers,detailed,1880,37
24219,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,13070,37
24220,15-1211,Computer Systems Analysts,detailed,26050,37
24221,15-1212,Information Security Analysts,detailed,6020,37
24222,15-1221,Computer and Information Research Scientists,detailed,180,37
24223,15-1231,Computer Network Support Specialists,detailed,6110,37
24224,15-1232,Computer User Support Specialists,detailed,22440,37
24225,15-1241,Computer Network Architects,detailed,4520,37
24226,15-1244,Network and Computer Systems Administrators,detailed,11460,37
24227,15-1245,Database Administrators and Architects,detailed,3800,37
24228,15-1251,Computer Programmers,detailed,5360,37
24229,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,detailed,42020,37
24230,15-1257,Web Developers and Digital Interface Designers,detailed,3950,37
24231,15-1299,"Computer Occupations, All Other",detailed,5810,37
24232,15-2011,Actuaries,detailed,**,37
24233,15-2031,Operations Research Analysts,detailed,2810,37
24234,15-2041,Statisticians,detailed,1640,37
24235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",detailed,1190,37
24236,17-1011,"Architects, Except Landscape and Naval",detailed,2450,37
24237,17-1012,Landscape Architects,detailed,610,37
24238,17-1021,Cartographers and Photogrammetrists,detailed,770,37
24239,17-1022,Surveyors,detailed,1150,37
24240,17-2011,Aerospace Engineers,detailed,530,37
24241,17-2031,Bioengineers and Biomedical Engineers,detailed,430,37
24242,17-2041,Chemical Engineers,detailed,920,37
24243,17-2051,Civil Engineers,detailed,10520,37
24244,17-2061,Computer Hardware Engineers,detailed,1500,37
24245,17-2071,Electrical Engineers,detailed,4830,37
24246,17-2072,"Electronics Engineers, Except Computer",detailed,2930,37
24247,17-2081,Environmental Engineers,detailed,1280,37
24248,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,570,37
24249,17-2112,Industrial Engineers,detailed,9340,37
24250,17-2121,Marine Engineers and Naval Architects,detailed,30,37
24251,17-2131,Materials Engineers,detailed,420,37
24252,17-2141,Mechanical Engineers,detailed,8970,37
24253,17-2199,"Engineers, All Other",detailed,1590,37
24254,17-3011,Architectural and Civil Drafters,detailed,2440,37
24255,17-3012,Electrical and Electronics Drafters,detailed,600,37
24256,17-3013,Mechanical Drafters,detailed,1490,37
24257,17-3019,"Drafters, All Other",detailed,160,37
24258,17-3022,Civil Engineering Technologists and Technicians,detailed,3010,37
24259,17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,2030,37
24260,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,100,37
24261,17-3025,Environmental Engineering Technologists and Technicians,detailed,100,37
24262,17-3026,Industrial Engineering Technologists and Technicians,detailed,2800,37
24263,17-3027,Mechanical Engineering Technologists and Technicians,detailed,1250,37
24264,17-3031,Surveying and Mapping Technicians,detailed,3430,37
24265,17-3098,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",detailed,1430,37
24266,19-1011,Animal Scientists,detailed,140,37
24267,19-1012,Food Scientists and Technologists,detailed,180,37
24268,19-1013,Soil and Plant Scientists,detailed,710,37
24269,19-1021,Biochemists and Biophysicists,detailed,570,37
24270,19-1022,Microbiologists,detailed,370,37
24271,19-1023,Zoologists and Wildlife Biologists,detailed,430,37
24272,19-1029,"Biological Scientists, All Other",detailed,1270,37
24273,19-1031,Conservation Scientists,detailed,330,37
24274,19-1032,Foresters,detailed,350,37
24275,19-1041,Epidemiologists,detailed,80,37
24276,19-1042,"Medical Scientists, Except Epidemiologists",detailed,5130,37
24277,19-1099,"Life Scientists, All Other",detailed,180,37
24278,19-2012,Physicists,detailed,310,37
24279,19-2021,Atmospheric and Space Scientists,detailed,140,37
24280,19-2031,Chemists,detailed,3990,37
24281,19-2032,Materials Scientists,detailed,150,37
24282,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,3840,37
24283,19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,390,37
24284,19-2043,Hydrologists,detailed,160,37
24285,19-2099,"Physical Scientists, All Other",detailed,530,37
24286,19-3011,Economists,detailed,120,37
24287,19-3022,Survey Researchers,detailed,150,37
24288,19-3031,"Clinical, Counseling, and School Psychologists",detailed,3040,37
24289,19-3039,"Psychologists, All Other",detailed,410,37
24290,19-3041,Sociologists,detailed,40,37
24291,19-3051,Urban and Regional Planners,detailed,1490,37
24292,19-3091,Anthropologists and Archeologists,detailed,100,37
24293,19-3093,Historians,detailed,70,37
24294,19-3099,"Social Scientists and Related Workers, All Other",detailed,1220,37
24295,19-4010,Agricultural and Food Science Technicians,detailed,480,37
24296,19-4021,Biological Technicians,detailed,2360,37
24297,19-4031,Chemical Technicians,detailed,1720,37
24298,19-4042,"Environmental Science and Protection Technicians, Including Health",detailed,1010,37
24299,19-4045,Geological and Hydrologic Technicians,detailed,120,37
24300,19-4061,Social Science Research Assistants,detailed,2220,37
24301,19-4071,Forest and Conservation Technicians,detailed,640,37
24302,19-4092,Forensic Science Technicians,detailed,440,37
24303,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,1100,37
24304,19-5011,Occupational Health and Safety Specialists,detailed,2580,37
24305,19-5012,Occupational Health and Safety Technicians,detailed,380,37
24306,21-1012,"Educational, Guidance, and Career Counselors and Advisors",detailed,6890,37
24307,21-1013,Marriage and Family Therapists,detailed,400,37
24308,21-1015,Rehabilitation Counselors,detailed,2690,37
24309,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,8950,37
24310,21-1019,"Counselors, All Other",detailed,170,37
24311,21-1021,"Child, Family, and School Social Workers",detailed,12380,37
24312,21-1022,Healthcare Social Workers,detailed,3160,37
24313,21-1023,Mental Health and Substance Abuse Social Workers,detailed,2390,37
24314,21-1029,"Social Workers, All Other",detailed,990,37
24315,21-1091,Health Education Specialists,detailed,1010,37
24316,21-1092,Probation Officers and Correctional Treatment Specialists,detailed,3160,37
24317,21-1093,Social and Human Service Assistants,detailed,7600,37
24318,21-1094,Community Health Workers,detailed,860,37
24319,21-1099,"Community and Social Service Specialists, All Other",detailed,3290,37
24320,21-2011,Clergy,detailed,1120,37
24321,21-2021,"Directors, Religious Activities and Education",detailed,130,37
24322,21-2099,"Religious Workers, All Other",detailed,310,37
24323,23-1011,Lawyers,detailed,13620,37
24324,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,200,37
24325,23-1022,"Arbitrators, Mediators, and Conciliators",detailed,160,37
24326,23-2011,Paralegals and Legal Assistants,detailed,10950,37
24327,23-2093,"Title Examiners, Abstractors, and Searchers",detailed,580,37
24328,23-2099,"Legal Support Workers, All Other",detailed,750,37
24329,25-1011,"Business Teachers, Postsecondary",detailed,3510,37
24330,25-1021,"Computer Science Teachers, Postsecondary",detailed,1560,37
24331,25-1022,"Mathematical Science Teachers, Postsecondary",detailed,1760,37
24332,25-1031,"Architecture Teachers, Postsecondary",detailed,210,37
24333,25-1032,"Engineering Teachers, Postsecondary",detailed,1400,37
24334,25-1041,"Agricultural Sciences Teachers, Postsecondary",detailed,760,37
24335,25-1042,"Biological Science Teachers, Postsecondary",detailed,1880,37
24336,25-1043,"Forestry and Conservation Science Teachers, Postsecondary",detailed,90,37
24337,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,350,37
24338,25-1052,"Chemistry Teachers, Postsecondary",detailed,940,37
24339,25-1053,"Environmental Science Teachers, Postsecondary",detailed,120,37
24340,25-1054,"Physics Teachers, Postsecondary",detailed,410,37
24341,25-1061,"Anthropology and Archeology Teachers, Postsecondary",detailed,230,37
24342,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed,230,37
24343,25-1063,"Economics Teachers, Postsecondary",detailed,560,37
24344,25-1064,"Geography Teachers, Postsecondary",detailed,110,37
24345,25-1065,"Political Science Teachers, Postsecondary",detailed,390,37
24346,25-1066,"Psychology Teachers, Postsecondary",detailed,970,37
24347,25-1067,"Sociology Teachers, Postsecondary",detailed,460,37
24348,25-1069,"Social Sciences Teachers, Postsecondary, All Other",detailed,710,37
