10:22:28,219 root INFO Running Test CEM and hybrid models
10:22:47,541 root INFO Running Test CEM and hybrid models
10:22:47,541 root DEBUG Runing
10:40:12,872 root INFO Running Test CEM and hybrid models
10:40:12,873 root DEBUG ==================Runing: <class 'mealpy.probabilistic_based.CEM.BaseCEM'>
10:40:12,943 root DEBUG > Epoch: 1, Best fit: 20253601865.73398
10:40:13,59 root DEBUG > Epoch: 2, Best fit: 20253601865.73398
10:40:13,130 root DEBUG > Epoch: 3, Best fit: 20253601865.73398
10:40:13,207 root DEBUG > Epoch: 4, Best fit: 20253601865.73398
10:40:13,286 root DEBUG > Epoch: 5, Best fit: 20253601865.73398
10:40:13,358 root DEBUG > Epoch: 6, Best fit: 20253601865.73398
10:40:13,426 root DEBUG > Epoch: 7, Best fit: 20253601865.73398
10:40:13,494 root DEBUG > Epoch: 8, Best fit: 20253601865.73398
10:40:13,562 root DEBUG > Epoch: 9, Best fit: 20253601865.73398
10:40:13,630 root DEBUG > Epoch: 10, Best fit: 20253601865.73398
10:40:13,698 root DEBUG > Epoch: 11, Best fit: 20253601865.73398
10:40:13,765 root DEBUG > Epoch: 12, Best fit: 20253601865.73398
10:40:13,833 root DEBUG > Epoch: 13, Best fit: 20253601865.73398
10:40:13,899 root DEBUG > Epoch: 14, Best fit: 20253601865.73398
10:40:13,964 root DEBUG > Epoch: 15, Best fit: 20253601865.73398
10:40:14,29 root DEBUG > Epoch: 16, Best fit: 19269392043.123978
10:40:14,97 root DEBUG > Epoch: 17, Best fit: 19269392043.123978
10:40:14,172 root DEBUG > Epoch: 18, Best fit: 19269392043.123978
10:40:14,251 root DEBUG > Epoch: 19, Best fit: 19269392043.123978
10:40:14,330 root DEBUG > Epoch: 20, Best fit: 19269392043.123978
10:40:14,403 root DEBUG > Epoch: 21, Best fit: 19269392043.123978
10:40:14,476 root DEBUG > Epoch: 22, Best fit: 19269392043.123978
10:40:14,548 root DEBUG > Epoch: 23, Best fit: 19269392043.123978
10:40:14,617 root DEBUG > Epoch: 24, Best fit: 19269392043.123978
10:40:14,683 root DEBUG > Epoch: 25, Best fit: 19269392043.123978
10:40:14,752 root DEBUG > Epoch: 26, Best fit: 19269392043.123978
10:40:14,819 root DEBUG > Epoch: 27, Best fit: 19269392043.123978
10:40:14,886 root DEBUG > Epoch: 28, Best fit: 17736131184.028584
10:40:14,953 root DEBUG > Epoch: 29, Best fit: 17736131184.028584
10:40:15,19 root DEBUG > Epoch: 30, Best fit: 17736131184.028584
10:40:15,85 root DEBUG > Epoch: 31, Best fit: 17736131184.028584
10:40:15,151 root DEBUG > Epoch: 32, Best fit: 17736131184.028584
10:40:15,216 root DEBUG > Epoch: 33, Best fit: 17736131184.028584
10:40:15,281 root DEBUG > Epoch: 34, Best fit: 17736131184.028584
10:40:15,347 root DEBUG > Epoch: 35, Best fit: 17736131184.028584
10:40:15,416 root DEBUG > Epoch: 36, Best fit: 17736131184.028584
10:40:15,482 root DEBUG > Epoch: 37, Best fit: 17736131184.028584
10:40:15,548 root DEBUG > Epoch: 38, Best fit: 17736131184.028584
10:40:15,615 root DEBUG > Epoch: 39, Best fit: 17736131184.028584
10:40:15,682 root DEBUG > Epoch: 40, Best fit: 17736131184.028584
10:40:15,749 root DEBUG > Epoch: 41, Best fit: 17736131184.028584
10:40:15,814 root DEBUG > Epoch: 42, Best fit: 17736131184.028584
10:40:15,881 root DEBUG > Epoch: 43, Best fit: 17736131184.028584
10:40:15,948 root DEBUG > Epoch: 44, Best fit: 17736131184.028584
10:40:16,15 root DEBUG > Epoch: 45, Best fit: 17736131184.028584
10:40:16,81 root DEBUG > Epoch: 46, Best fit: 17736131184.028584
10:40:16,148 root DEBUG > Epoch: 47, Best fit: 17736131184.028584
10:40:16,216 root DEBUG > Epoch: 48, Best fit: 17736131184.028584
10:40:16,287 root DEBUG > Epoch: 49, Best fit: 17736131184.028584
10:40:16,356 root DEBUG > Epoch: 50, Best fit: 13511534077.253561
10:40:16,423 root DEBUG > Epoch: 51, Best fit: 13511534077.253561
10:40:16,490 root DEBUG > Epoch: 52, Best fit: 13511534077.253561
10:40:16,556 root DEBUG > Epoch: 53, Best fit: 13511534077.253561
10:40:16,623 root DEBUG > Epoch: 54, Best fit: 13511534077.253561
10:40:16,689 root DEBUG > Epoch: 55, Best fit: 13511534077.253561
10:40:16,755 root DEBUG > Epoch: 56, Best fit: 13511534077.253561
10:40:16,822 root DEBUG > Epoch: 57, Best fit: 13511534077.253561
10:40:16,889 root DEBUG > Epoch: 58, Best fit: 13511534077.253561
10:40:16,955 root DEBUG > Epoch: 59, Best fit: 13511534077.253561
10:40:17,22 root DEBUG > Epoch: 60, Best fit: 13511534077.253561
10:40:17,88 root DEBUG > Epoch: 61, Best fit: 13511534077.253561
10:40:17,156 root DEBUG > Epoch: 62, Best fit: 13511534077.253561
10:40:17,223 root DEBUG > Epoch: 63, Best fit: 13511534077.253561
10:40:17,289 root DEBUG > Epoch: 64, Best fit: 13511534077.253561
10:40:17,356 root DEBUG > Epoch: 65, Best fit: 13511534077.253561
10:40:17,426 root DEBUG > Epoch: 66, Best fit: 13511534077.253561
10:40:17,493 root DEBUG > Epoch: 67, Best fit: 13511534077.253561
10:40:17,558 root DEBUG > Epoch: 68, Best fit: 13511534077.253561
10:40:17,625 root DEBUG > Epoch: 69, Best fit: 13511534077.253561
10:40:17,709 root DEBUG > Epoch: 70, Best fit: 13511534077.253561
10:40:17,777 root DEBUG > Epoch: 71, Best fit: 13511534077.253561
10:40:17,845 root DEBUG > Epoch: 72, Best fit: 13511534077.253561
10:40:17,912 root DEBUG > Epoch: 73, Best fit: 13511534077.253561
10:40:17,980 root DEBUG > Epoch: 74, Best fit: 13511534077.253561
10:40:18,52 root DEBUG > Epoch: 75, Best fit: 13511534077.253561
10:40:18,121 root DEBUG > Epoch: 76, Best fit: 13511534077.253561
10:40:18,189 root DEBUG > Epoch: 77, Best fit: 13511534077.253561
10:40:18,255 root DEBUG > Epoch: 78, Best fit: 13511534077.253561
10:40:18,323 root DEBUG > Epoch: 79, Best fit: 13511534077.253561
10:40:18,390 root DEBUG > Epoch: 80, Best fit: 13511534077.253561
10:40:18,455 root DEBUG > Epoch: 81, Best fit: 13511534077.253561
10:40:18,523 root DEBUG > Epoch: 82, Best fit: 13511534077.253561
10:40:18,589 root DEBUG > Epoch: 83, Best fit: 13511534077.253561
10:40:18,655 root DEBUG > Epoch: 84, Best fit: 13511534077.253561
10:40:18,722 root DEBUG > Epoch: 85, Best fit: 13511534077.253561
10:40:18,788 root DEBUG > Epoch: 86, Best fit: 13511534077.253561
10:40:18,855 root DEBUG > Epoch: 87, Best fit: 13511534077.253561
10:40:18,926 root DEBUG > Epoch: 88, Best fit: 13511534077.253561
10:40:18,995 root DEBUG > Epoch: 89, Best fit: 13511534077.253561
10:40:19,62 root DEBUG > Epoch: 90, Best fit: 13511534077.253561
10:40:19,128 root DEBUG > Epoch: 91, Best fit: 13511534077.253561
10:40:19,194 root DEBUG > Epoch: 92, Best fit: 13511534077.253561
10:40:19,262 root DEBUG > Epoch: 93, Best fit: 13511534077.253561
10:40:19,329 root DEBUG > Epoch: 94, Best fit: 13511534077.253561
10:40:19,396 root DEBUG > Epoch: 95, Best fit: 13511534077.253561
10:40:19,461 root DEBUG > Epoch: 96, Best fit: 13511534077.253561
10:40:19,528 root DEBUG > Epoch: 97, Best fit: 13511534077.253561
