a = 0.352
vel	:          3303	        
-12	:	5.51E-02	
-11.5	:	5.60E-02	
-11	:	5.62E-02	
-10.5	:	5.59E-02	
-10	:	5.51E-02	
-9.5	:	5.38E-02	
-9	:	5.21E-02	
-8.5	:	4.99E-02	
-8	:	4.76E-02	
-7.5	:	4.45E-02	
-7	:	4.18E-02	
-6.5	:	3.89E-02	
-6	:	3.50E-02	
-5.5	:	3.22E-02	
-5	:	2.88E-02	
-4.5	:	2.61E-02	
-4	:	2.33E-02	
-3.5	:	2.05E-02	
-3	:	1.79E-02	
-2.5	:	1.47E-02	
-2	:	1.20E-02	
-1.5	:	9.77E-03	
-1	:	7.17E-03	
-0.5	:	5.72E-03	
0	:	4.37E-03	
0.5	:	3.81E-03	
1	:	3.56E-03	
1.5	:	3.65E-03	
2	:	4.26E-03	
2.5	:	5.08E-03	
3	:	6.18E-03	
3.5	:	8.24E-03	
4	:	1.01E-02	
4.5	:	1.24E-02	
5	:	1.52E-02	
5.5	:	1.76E-02
6	:	2.03E-02	
6.5	:	2.26E-02	
7	:	2.51E-02	
7.5	:	2.71E-02	
8	:	2.91E-02	
8.5	:	3.19E-02	
9	:	3.43E-02	
9.5	:	3.66E-02	
10	:	3.97E-02	
10.5	:	4.22E-02	
11	:	4.49E-02	
11.5	:	4.71E-02
12	:	4.92E-02	
