ID,Reference
1,"Adhikari, B. K.; S. Barrington, J. Martinez, and S. King, ?Characterization of food waste and bulking agents for composting,? Waste Manag., vol. 28, no. 5, pp. 795?804, 2008."
2,"Allred, B. M., Lang, J. R., Barlaz, M. A., and J. A. Field 2015, ?Physical and Biological Release of Poly- and Perfluoroalkyl Substances (PFASs) from Municipal Solid Waste in Anaerobic Model Landfill Reactor,? Environ. Sci. and Technol., 49, p. 7648 - 56."
3,"Arvaniti, O. S., Ventouri, E. I., Stasinakis, A. S., & Thomaidis, N. S. (2012). Occurrence of different classes of perfluorinated compounds in Greek wastewater treatment plants and determination of their solid-water distribution coefficients. Journal of Hazardous Materials, 239?240, 24?31. https://doi.org/10.1016/j.jhazmat.2012.02.015"
4,"Arvaniti, O. S., Andersen, H. R., Thomaidis, N. S., & Stasinakis, A. S. (2014). Sorption of Perfluorinated Compounds onto different types of sewage sludge and assessment of its importance during wastewater treatment. Chemosphere, 111, 405?411. https://doi.org/10.1016/j.chemosphere.2014.03.087"
5,"Bartels, C. R.; Wilf, M.; Andes, K.; Iong, J. Design Considerations for Wastewater Treatment by Reverse Osmosis. Water Sci. Technol. 2016, 51 (February 2005)."
6,"Bisinella, V., Conradsen, K., Christensen, T.H., Astrup, T.F., 2016. A global approach for sparse representation of uncertainty in Life Cycle Assessments of waste management systems. Int. J. Life Cycle Assess. 21, 378?394. https://doi.org/10.1007/s11367-015-1014-4"
7,"Boldrin, A., Andersen, J.K., M?ller, J., Christensen, T.H., Favoino, E., 2009. Composting and compost utilization: Accounting of greenhouse gases and global warming contributions. Waste Manag. Res. 27, 800?812. https://doi.org/10.1177/0734242X09345275"
8,"Bonan, G.B. (2019). Soil Moisture. Climate Change and Terrestrial Ecosystem Modeling, 74(1), 115?133."
9,"Breitenbeck  & Schellinger, 2004"
10,"CalReycle (2020). Construction and Demolition Waste Stream Composition Calculator. https://www2.calrecycle.ca.gov/WasteCharacterization/General/ConDemoCalculator Accessed: September 1, 2020."
11,"Campos Pereira, H.; Ullberg, M.; Kleja, D. B.; Gustafsson, J. P.; Ahrens, L. Sorption of Perfluoroalkyl Substances (PFASs) to an Organic Soil Horizon ? Effect of Cation Composition and PH. Chemosphere 2018, 207, 183?191"
