Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Total destruction and removal efficiency,DRE,PFOA,DRE of PFOA,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFOS,DRE of PFOS,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFBA,DRE of PFBA,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFPeA,DRE of PFPeA,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFHxA,DRE of PFHxA,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFHpA,DRE of PFHpA,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFNA,DRE of PFNA,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFDA,DRE of PFDA,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFBS,DRE of PFBS,0.99,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFHxS,DRE of PFHxS,0.99,fraction,,,,,,,,
SCWO parameters,SCWO,frac_water_to_steam,Fraction of incoming water to steam,0.1,fraction,,,,,,,,
SCWO parameters,SCWO,frac_water_to_slurry,Fraction of incoming water to slurry,0.1,fraction,,,,,,,,
SCWO parameters,SCWO,frac_PFAS_to_steam,Fraction of destroyed and removed that remains in steam,0,fraction,,,,,,,,
SCWO parameters,SCWO,frac_PFAS_to_slurry,Fraction of destroyed and removed that remains in slurry,0,fraction,,,,,,,,
