GPCR,STANDARD_VALUE,smiles
P30939,-2.53,CN1CC(CC2C1CC3=CN(C4=CC=CC2=C34)C)CNC(=O)OCC5=CC=CC=C5
P30939,-0.857,CN1CCC(CC1)C2=CNC3=C2N=C(C=C3)NC(=O)C4=CC=C(C=C4)C#N
P30939,-1.204,CN1CCC(CC1)C2=CNC3=C2N=C(C=C3)NC(=O)C4=CC(=CC=C4)OC
P30939,-1.462,CN(C)CCC1=CN(C2=C1C=C(C=C2)O)C(=O)C3=CC=CC=C3
P30939,-1.525,CN1CCC(CC1)N2CNC3=C2C=C(C=C3)NC(=O)C4=C(C=C(C=C4F)F)F
P30939,-0.763,CC1=CC=CC(=C1)C(=O)NC2=NC3=C(C=C2)NC=C3C4CCN(CC4)C
P30939,-0.886,CN1CCC(CC1)C2=CNC3=C2N=C(C=C3)NC(=O)C4=CC=C(C=C4)[N+](=O)[O-]
P30939,-3.8,C1CC(CCC1CCN2CCC3=C(C2)C=CC(=C3)C#N)NC(=O)C4=CC=NC5=CC=CC=C45
P30939,-2.5,CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCN5CCCC5C4
P30939,-0.431,CN1CCCC1CC2=CNC3=C2C=C(C=C3)NS(=O)(=O)C4=CC(=CC=C4)Cl
P30939,-1.041,CN1CCC(CC1)C2=CNC3=C2N=C(C=C3)NC(=O)C4CCCC4
P30939,-1.312,CC(=O)NC1=NC2=C(C=C1)NC=C2C3CCN(CC3)C
P30939,-2.81,CN1CCN(CC1)C2CC3=CC=CC=C3SC4=C2C=C(C=C4)SC
P30939,-3.38,CN1CCC(CC1)C(=O)C2=CC(=NC=C2)NC(=O)C3=CC=C(C=C3)F
P30939,-0.875,CN1CCC(CC1)C2=CNC3=C2N=C(C=C3)OS(=O)(=O)C4=CC=C(C=C4)F
P30939,-3.301,CCOC(=O)C1=C(C2=CC=CC=C2N1)CCN(C)C
P30939,-1.23,CN1CCC(CC1)C2=NOC3=C2C=C(C=C3)NC(=O)C4=CC=C(C=C4)F
P30939,-1.362,CN1CCC(CC1)C2=CNC3=C2N=C(C=C3)OC
P30939,-2.3,CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCN5CCCC5C4
P30939,-1.146,CCCCC(=O)NC1=NC2=C(C=C1)NC=C2C3CCN(CC3)C
P30939,-3.5,CC1CCN(CC1)CCC2CCCN2S(=O)(=O)C3=CC(=C(C=C3)Cl)Cl
P30939,-1.041,CN1CCC(CC1)C2=CNC3=C2N=C(C=C3)NC(=O)C4=CC(=CC=C4)F
P30939,-2.265,CC(CC1=CNC2=C1C=C(C=C2)O)N
P30939,-2.23,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CN(C6CC7=CNC8=CC=CC(=C78)C6=C5)C
P30939,-2.5,CN1CCN(CC1)C2=C(C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Br)OC
