GPCR,STANDARD_VALUE,smiles
P28221,0.155,CN(C)CCC1=CNC2=C1C=C(C=C2)C3=CC=CS3
P28221,-1.598,CN1CCC(CC1)C2=CNC3=C2C=C(C=C3)N
P28221,-0.643,CNC1CCC2=C(C1)C3=C(N2)C=CC(=C3)C(=O)N
P28221,-0.332,C1CN(CCN1C2=CC=C(C=C2)[N+](=O)[O-])C(=O)CCCCOC3=CC4=C(C=C3)NC=C4CCN
P28221,-3,CN(C)CCCN1CCC(CC1)C2=CNC3=C2C=C(C=C3)NC(=O)C4=CC=C(C=C4)F
P28221,-0.146,CC(C1=CC=CC=C1)NCC2CCN(CC2)CCCC3=CNC4=C3C=C(C=C4)N5C=NN=C5
P28221,-2.1,CC1CN(CC(N1C)C)C2=C(C=C3CCN(C3=C2)C(=O)CC4=C(C(=CC=C4)C(F)(F)F)F)OC
P28221,-1.204,C1CCN(C1)CCC2=CNC3=C2C=C(C=C3)C4=CCN(CC4)NC(=S)C5=CC=CC6=CC=CC=C65
P28221,-0.446,CN1CCN(CC1)C2=NC3=C(C=CC(=C3)C(F)(F)F)N4C2=CC=C4
P28221,-1.681,CC1=CC=CC=C1N2CCN(CC2)C(=O)NC3=CC(=C(C=C3)OC)N4CCN(CC4)C
P28221,-0.756,CC(=O)NC1=CC=C(C=C1)CCN(C)C2CCN(CC2)CCCC3=CNC4=C3C=C(C=C4)N5C=NN=C5
P28221,-1.114,C1CN(CCC1C2=CNC3=C2C=C(C=C3)NC(=O)C4=CC=C(C=C4)F)CCCCCCCCCCN5CCC(CC5)C6=CNC7=C6C=C(C=C7)NC(=O)C8=CC=C(C=C8)F
P28221,-1.9,CC1=NC2=CC(=CC(=C2C=C1)OCCN3CCC(CC3)CC4=CC5=C(C(=C4)F)OCC(=O)N5)F
P28221,0.8,CC1=NC2=C(C=C1)C(=CC=C2)N3CCN(CC3)CCC4=C5C(=CC=C4)N6C=NC(=C6CO5)C(=O)NC7CCCC7
P28221,-1.9,CC1=NC2=C(C=C1)C(=CC=C2)OC(C)CN3CCC(CC3)CC4=CC5=C(C=C4)OCC(=O)N5
P28221,-3.097,COC1=CC=CC=C1N2CCN(CC2)CCC(C3=CSC=C3)OC4=CC=CC5=CC=CC=C54
