GPCR,STANDARD_VALUE,smiles
P28566,-4.699,CCOC(=O)C1C(NC(=O)N=C1C)C2=CC(=C(C=C2)OCC(=O)NC3=CC=CC=C3)OC
P28566,-2.288,CC1=C(C2=CC=CC=C2N1)C3=CCNCC3
P28566,-2.579,C1CN(CCN1CCC2=C(C=C3C(=C2)CC(=O)N3)Cl)C4=NSC5=CC=CC=C54
P28566,-4.699,COC1=CC(=C(C=C1)CN2CCN(CC2)C3=CC=CC=C3F)OC
P28566,-3.572,CNCCC(C1=CC=CS1)OC2=CC=CC3=CC=CC=C32
P28566,-4.699,COC1=CC=C(C=C1)N2C(=CC(=C2O)NCC3=CC=NC=C3)O
P28566,-2.745,CC(CC1=CC(=C(C=C1OC)Br)OC)N
P28566,-3.6,CC1=C(C=CC(=C1)C2=NOC(=N2)C)C3=CC=C(C=C3)C(=O)NC4=CC(=C(C=C4)OC)N5CCN(CC5)C
P28566,-3.875,CCOC(=O)C1=CC2=C(C=C(C=C2)OC(=O)C3=CC=CO3)OC1=O
P28566,-2.693,CN(C)CCOC(=O)C1=CN(C2=CC=CC=C21)CC3=CC=CC=C3
P28566,-4.699,CC1=C(C(=CC=C1)N2CCN(CC2)C(=O)CC3=C(NC4=C3C=C(C=C4)Cl)C(=O)O)C
P28566,-3.282,CC(CC1=CNC2=CC=CC=C21)N
P28566,-3.6,C1CN(CCN1)C2=CC(=CC=C2)Cl
P28566,-4.699,CCOC(=O)C1CCN(CC1)C(C2=CN=CC=C2)C3=C(SC(=C3C)C)NC(=O)C4=CC=CO4
P28566,-4.699,COC(=O)NC1=NC2=C(N1)C=C(C=C2)SC3=CC=CC=C3
P28566,-4.138,CC1=CC=CC=C1C(=O)N2CCN(CC2)C3=CC=C(C=C3)NC(=O)C4=CC5=C(C=C4)OCO5
P28566,-3.408,C1=CC=C2C(=C1)C(=CN2)CCN
P28566,-2.289,CN1CCN(CC1)C2CC3=CC=CC=C3SC4=C2C=C(C=C4)SC
P28566,-1.196,C1CNCC=C1C2=CNC3=CC=CC=C32
P28566,-3.244,CC1=CC=CC(=C1)C2=NN=C(O2)C3=CC(=CC=C3)NC(=O)CC4=CC(=C(C=C4)OC)OC
P28566,-4.699,CN(C)C1=NC(=NC(=N1)N2CCCCC2)OCCNC(=O)COC3=C(C=C(C=C3)Cl)Cl
P28566,-4.699,CC(=CCC(C)(C)CNC(=O)NC1CCCCC1)C
P28566,-4.699,C1=CC=C2C(=C1)N(C3=CC=CC=C3S2)C(=O)CSC4=NN=C(N4CC5=CC=CO5)C6=CN=CC=C6
P28566,-4.126,CC1=C(C=C(C=C1)NC(=O)C(C2=CC=CC=C2)OC(=O)C3=C(OC(=C3)C)C)Cl
P28566,-3.5,CC(CC1=CNC2=C1C=C(C=C2)OCC3=CC=CS3)N
P28566,-2.732,CCCCCCC(=O)OCCN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F
P28566,-3.916,CC1CN(CCN1C2=CC(=CC=C2)OC)C3=NC=NC4=C3NC5=CC=CC=C54
P28566,-1.378,CCN1CCC(=CC1)C2=CNC3=CC=CC=C32
P28566,-3.05,CN1CC(CC2C1CC3=CN(C4=CC=CC2=C34)C)CNC(=O)OCC5=CC=CC=C5
P28566,-4.699,CN1C(=CN=C1SCC2=NC(=O)C3=CC=CC=C3N2)C4=CC=CC=C4
P28566,-2.537,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)Cl
P28566,-3.348,C1CN(CCC12C(=O)NCN2C3=CC=CC=C3)CCCC(C4=CC=C(C=C4)F)C5=CC=C(C=C5)F
P28566,-4.699,C1CCC(CC1)NC(=O)C(C#N)C2=NC3=CC=CC=C3N=C2N4CCC(CC4)C(=O)N
P28566,-2.76,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CN(C6CC7=CNC8=CC=CC(=C78)C6=C5)C
P28566,-0.831,CN1CCC(=CC1)C2=CNC3=CC=CC=C32
P28566,-1.95,CCC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C
P28566,-2.716,CCC1=C(C2=C(N1)C=CC(=C2)OC)CCN(C)C
P28566,-4.699,C1=CC2=C(N=C1)N=C(O2)C3=CC=C(C=C3)NC(=O)C4=CC=C(O4)Br
P28566,-1,CN1CC2C(C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24
P28566,-0.8,C1CN(CCC1C2=CNC3=C2C=C(C=C3)O)CCCCCNC(=O)C=CC4=CC(=C(C=C4)Cl)Cl
P28566,-3,CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCN5CCCC5C4
P28566,-3.737,CC1=CC=CC(=C1)C2(CC2C(=O)NC3=C(C=C(C=C3)[N+](=O)[O-])O)C4=CC(=CC=C4)C
P28566,-4.699,C1=CC=C(C=C1)C(C2=CC=CC=C2)C(=O)NC3=CC=C(C=C3)Br
P28566,-3.303,CC1=CC2=C(NC3=CC=CC=C3N=C2S1)N4CCN(CC4)C
P28566,-2.62,COC1=CC2=C(C=C1)NC=C2CCN(CC=C)CC=C
P28566,-3.464,COC1=C(C=C(C=C1)C2=CC(=NC(=N2)S(=O)(=O)C)C(F)(F)F)OC
P28566,-1.996,C1CC(=CCC1NCCCCCCCNC2CCC(=CC2)C3=CNC4=C3C=C(C=C4)C(=O)N)C5=CNC6=C5C=C(C=C6)C(=O)N
P28566,-3.446,C1=CC=C(C=C1)N2C(=NN=N2)S(=O)(=O)CCC#N
P28566,-2.27,C1CC(CNC1)C2=NC3=CC=CC=C3S2
P28566,-3.587,CC1=CC(=CC=C1)CN2C(=CC(=N2)C(C)(C)C)C(=O)NC3=CC=C(C=C3)F
P28566,-4.699,C1=CC=C(C=C1)C(C2=CC=CC=C2)NC(=S)NC3=CC=CC(=C3)C(F)(F)F
P28566,-3.365,CCC1=NN(C(=O)C2=CC3=C(N21)C=CO3)C(C)C(=O)NCCN4CCN(CC4)C5=CC=CC(=C5C)C
P28566,-2.977,CN1CC(CC2C1CC3=CN(C4=CC=CC2=C34)C)CNC(=O)OCC5=CC=CC=C5
P28566,-3.146,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
P28566,-3.418,CC(=O)OC1=CC=C(C=C1)N2C(=C3C(=C2O)C4(C=CC3(O4)C)C)O
P28566,-4.699,CC1=C(C(=CC=C1)N2CCN(CC2)CC3=CC(=C(C(=C3)OC)O)OC)C
P28566,-4.082,C1CCC(C1)C(C2=CC=CC=C2)C(=O)NC3=CC=CC=C3
P28566,-3.4,CC1(C(=O)N2C(C(=O)N3CCCC3C2(O1)O)CC4=CC=CC=C4)NC(=O)C5CC6C(CC7=CNC8=CC=CC6=C78)N(C5)C
P28566,-3.8,CC1CCN(CC1)CCC2CCCN2S(=O)(=O)C3=CC=CC(=C3)O
P28566,-3.7,CN1C=CC2=CC3=C(CCN3C(=O)NC4=CN=CC=C4)C=C21
P28566,-4.699,CC1C(N(C(CC1(C2=CC=C(C=C2)F)O)C3=CC=CC=C3)C)C4=CC=CC=C4
P28566,-2.912,CC1=C(C2=C(N1)C(=CC=C2)C(F)(F)F)CCN
P28566,-2.359,CCC(CO)NC(=O)C1CN(C2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C
P28566,-3.321,CC(=O)NC1=C(C2=NON=C2C(=C1)OC(=O)C)OC(=O)C
P28566,-3.849,CC1=CC=C(C=C1)NC(=O)C(C2CCCC2)C3=CC=CC=C3
P28566,-3.462,CN1C(=C2C(=NC1=O)N(C(=O)N2)C)N
P28566,-3.716,C1CCCN(CC1)C2=CC=C(O2)C=C(C#N)C3=CC=C(C=C3)F
P28566,-2.62,CC1=CC(=C(C(=C1CC2=NCCN2)C)O)C(C)(C)C
P28566,-3.562,CN1C2=CC=CC=C2N=C1C3=C(N(C4=NC5=CC=CC=C5N=C34)C6CCCC6)N
P28566,-4.699,CN1C=C(C2=CC=CC=C21)C(CC3=CC=CC=C3)N=O
P28566,-3.268,C1CCC(C1)C(C2=CC=CC=C2)C(=O)NC3=CC4=CC=CC=C4C=C3
P28566,-4.699,CCN1C2=NC(=O)N(C(=O)C2=NC(=N1)C3=CC=CC=C3)C
P28566,-3.009,CC1=C(C(=O)N2CCCC(C2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
P28566,-4.235,C1COCCN1C2=CC=C(C=C2)NC(=O)NC3=CC4=C(C=C3)N=C(C(=N4)C5=CC=CO5)C6=CC=CO6
P28566,-4.699,C1CCN(C1)S(=O)(=O)C2=CC(=CC=C2)Cl
P28566,-2.2,CN(C)CCC1=CNC2=C1C=C(C=C2)CN3C=NC=N3
P28566,-4.699,CCC(=O)NC1=NC(=NC(=C1C(=O)OCC)C)C2=CC=CC=C2
P28566,-3.498,COC1=CC2=C(C=C1)NC=C2CCN
P28566,-2.146,CC1CC(N1C(=O)C2CN(C3CC4=CNC5=CC=CC(=C45)C3=C2)C)C
P28566,-0.826,C1=CC2=C(C=C1O)C(=CN2)CCN
P28566,-2.55,C=CCN(CCC1=CNC2=C1C=C(C=C2)Cl)CC=C
P28566,-1.041,CN1CC2C(C1)C3=C(C=CC(=C3)Cl)OC4=CC=CC=C24
P28566,-3.293,C1C(C1C(=O)NN=CC2=CC=C(O2)C3=CC=C(C=C3)[N+](=O)[O-])C4=CC=CC=C4
P28566,-3.264,CC1=C(C(=O)N(N1C)C2=CC=CC=C2)CN3CCN(CC3)C4=CC=CC(=C4)C(F)(F)F
P28566,-2.32,C1CN(CCN1)C2=CC=CC3=CC=CC=C32
P28566,-3,CC1=C(C(=O)N2CC(CCC2=N1)O)CCN3CCC(CC3)C4=NOC5=C4C=CC(=C5)F
P28566,-3.463,CC1=CC=C(S1)S(=O)(=O)NC2=CC=CC3=C2C=CC=N3
P28566,-1.95,CCC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C
P28566,-3.544,CCCCN(C)CCCNC(=O)CN1C2=CC=CC=C2SC1=O
P28566,-3.068,CN1CCN(CC1)C(C2=NON=C2N)N=O
P28566,-3.372,CC1(CC(=O)C(=CNC2=CC=CC=C2SC)C(=O)C1)C
P28566,-1.3,CN(C)CCC1=CNC2=C1C=C(C=C2)CC3COC(=O)N3
P28566,-3.2,CN1CCN(CC1)C2=C(C=CC(=C2)NS(=O)(=O)C3=CC=C(C=C3)Br)OC
P28566,-2.081,CC(CC1=CNC2=C1C=C(C=C2)O)N
P28566,-4.699,CCOC(=O)C1=C(C2=CC=CC=C2O1)NC(=O)C3=CC(=CC(=C3)OC)OC
P28566,-4.699,CSC1=NC2=C(S1)C=C(C=C2)NC(=O)C3CCCO3
P28566,-3.574,CC1=CC=C(C=C1)S(=O)(=O)NC2=C3C(=CC(=C2)OC)C=CC=N3
P28566,-4.699,CCCC1=NN=C2N1N=C(CS2)C3=CC(=C(C=C3)OC)OC
P28566,-4.699,CC1=CC=C(C=C1)C(=O)CC(C2=CC=C(C=C2)OC)NC3=CC=C(C=C3)[N+](=O)[O-]
P28566,-4.699,CC1=C(C(=CC=C1)NC(=O)C2CCCN(C2)C(=O)NC3=CC=CC=C3)C
P28566,-3.328,CS(=O)(=O)C1=NC(=CC(=N1)C(F)(F)F)C2=CC=CC=C2
P28566,-4.699,CC1=CC=C(C=C1)C2=NN(N=N2)CC(=O)N(CC(=O)NC3CCCC3)C4=CC(=C(C=C4)OC)OC
P28566,-3.8,C1CN(CCN1CC(C(C2=CC=CC=C2)C3=CC=CC=C3)O)C4=CC(=CC=C4)Cl
P28566,-1.942,CC(CO)NC(=O)C1CN(C2CC3=CNC4=CC=CC(=C34)C2=C1)C
P28566,-3.4,CCCCCCOC1=NSN=C1C2=CCCN(C2)C
P28566,-4.699,CC(CCC1=CC=CC=C1)NC(=O)CSC2=NC(=CC(=N2)N)N
P28566,-3.903,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
P28566,-3.4,CC1=C(SC2=C1C=C(C=C2)Cl)S(=O)(=O)NC3=CC(=C(C=C3)OC)N4CCN(CC4)C
P28566,-2.505,CN(C)CCOC1=CC2=CC=CC=C2SC3=C1C=C(C=C3)Cl
