,occ_code,occ_title,o_group,tot_emp,area
22131,17-2031,Bioengineers and Biomedical Engineers,detailed,450,34
22132,17-2041,Chemical Engineers,detailed,1350,34
22133,17-2051,Civil Engineers,detailed,7420,34
22134,17-2061,Computer Hardware Engineers,detailed,1580,34
22135,17-2071,Electrical Engineers,detailed,3440,34
22136,17-2072,"Electronics Engineers, Except Computer",detailed,3020,34
22137,17-2081,Environmental Engineers,detailed,1250,34
22138,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",detailed,520,34
22139,17-2112,Industrial Engineers,detailed,5090,34
22140,17-2121,Marine Engineers and Naval Architects,detailed,130,34
22141,17-2131,Materials Engineers,detailed,460,34
22142,17-2141,Mechanical Engineers,detailed,5040,34
22143,17-2161,Nuclear Engineers,detailed,**,34
22144,17-2171,Petroleum Engineers,detailed,270,34
22145,17-2199,"Engineers, All Other",detailed,3950,34
22146,17-3011,Architectural and Civil Drafters,detailed,2550,34
22147,17-3012,Electrical and Electronics Drafters,detailed,400,34
22148,17-3013,Mechanical Drafters,detailed,1080,34
22149,17-3019,"Drafters, All Other",detailed,230,34
22150,17-3021,Aerospace Engineering and Operations Technologists and Technicians,detailed,**,34
22151,17-3022,Civil Engineering Technologists and Technicians,detailed,970,34
22152,17-3023,Electrical and Electronic Engineering Technologists and Technicians,detailed,2500,34
22153,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,detailed,140,34
22154,17-3025,Environmental Engineering Technologists and Technicians,detailed,300,34
22155,17-3026,Industrial Engineering Technologists and Technicians,detailed,950,34
22156,17-3027,Mechanical Engineering Technologists and Technicians,detailed,500,34
22157,17-3031,Surveying and Mapping Technicians,detailed,**,34
22158,17-3098,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other",detailed,1410,34
22159,19-1012,Food Scientists and Technologists,detailed,1340,34
22160,19-1013,Soil and Plant Scientists,detailed,60,34
22161,19-1021,Biochemists and Biophysicists,detailed,7280,34
22162,19-1022,Microbiologists,detailed,560,34
22163,19-1023,Zoologists and Wildlife Biologists,detailed,130,34
22164,19-1029,"Biological Scientists, All Other",detailed,370,34
22165,19-1031,Conservation Scientists,detailed,310,34
22166,19-1032,Foresters,detailed,30,34
22167,19-1041,Epidemiologists,detailed,130,34
22168,19-1042,"Medical Scientists, Except Epidemiologists",detailed,3300,34
22169,19-1099,"Life Scientists, All Other",detailed,370,34
22170,19-2012,Physicists,detailed,510,34
22171,19-2021,Atmospheric and Space Scientists,detailed,380,34
22172,19-2031,Chemists,detailed,7350,34
22173,19-2032,Materials Scientists,detailed,180,34
22174,19-2041,"Environmental Scientists and Specialists, Including Health",detailed,2740,34
22175,19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,200,34
22176,19-2043,Hydrologists,detailed,160,34
22177,19-2099,"Physical Scientists, All Other",detailed,540,34
22178,19-3011,Economists,detailed,200,34
22179,19-3022,Survey Researchers,detailed,430,34
22180,19-3031,"Clinical, Counseling, and School Psychologists",detailed,3570,34
22181,19-3041,Sociologists,detailed,40,34
22182,19-3051,Urban and Regional Planners,detailed,530,34
22183,19-3091,Anthropologists and Archeologists,detailed,**,34
22184,19-3093,Historians,detailed,90,34
22185,19-3099,"Social Scientists and Related Workers, All Other",detailed,460,34
22186,19-4010,Agricultural and Food Science Technicians,detailed,470,34
22187,19-4021,Biological Technicians,detailed,1130,34
22188,19-4031,Chemical Technicians,detailed,3850,34
22189,19-4042,"Environmental Science and Protection Technicians, Including Health",detailed,800,34
22190,19-4045,Geological and Hydrologic Technicians,detailed,390,34
22191,19-4061,Social Science Research Assistants,detailed,160,34
22192,19-4071,Forest and Conservation Technicians,detailed,40,34
22193,19-4092,Forensic Science Technicians,detailed,100,34
22194,19-4099,"Life, Physical, and Social Science Technicians, All Other",detailed,**,34
22195,19-5011,Occupational Health and Safety Specialists,detailed,2410,34
22196,19-5012,Occupational Health and Safety Technicians,detailed,280,34
22197,21-1012,"Educational, Guidance, and Career Counselors and Advisors",detailed,7010,34
22198,21-1013,Marriage and Family Therapists,detailed,4300,34
22199,21-1015,Rehabilitation Counselors,detailed,940,34
22200,21-1018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",detailed,10130,34
22201,21-1019,"Counselors, All Other",detailed,1190,34
22202,21-1021,"Child, Family, and School Social Workers",detailed,4910,34
22203,21-1022,Healthcare Social Workers,detailed,3200,34
22204,21-1023,Mental Health and Substance Abuse Social Workers,detailed,1670,34
22205,21-1029,"Social Workers, All Other",detailed,480,34
22206,21-1091,Health Education Specialists,detailed,540,34
22207,21-1092,Probation Officers and Correctional Treatment Specialists,detailed,2910,34
22208,21-1093,Social and Human Service Assistants,detailed,27530,34
22209,21-1094,Community Health Workers,detailed,1110,34
22210,21-1099,"Community and Social Service Specialists, All Other",detailed,3320,34
22211,21-2011,Clergy,detailed,1230,34
22212,21-2021,"Directors, Religious Activities and Education",detailed,250,34
22213,21-2099,"Religious Workers, All Other",detailed,650,34
22214,23-1011,Lawyers,detailed,21690,34
22215,23-1012,Judicial Law Clerks,detailed,550,34
22216,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,300,34
22217,23-1022,"Arbitrators, Mediators, and Conciliators",detailed,130,34
22218,23-1023,"Judges, Magistrate Judges, and Magistrates",detailed,1070,34
22219,23-2011,Paralegals and Legal Assistants,detailed,7960,34
22220,23-2093,"Title Examiners, Abstractors, and Searchers",detailed,1150,34
22221,23-2099,"Legal Support Workers, All Other",detailed,810,34
22222,25-1011,"Business Teachers, Postsecondary",detailed,2540,34
22223,25-1021,"Computer Science Teachers, Postsecondary",detailed,1020,34
22224,25-1022,"Mathematical Science Teachers, Postsecondary",detailed,1480,34
22225,25-1031,"Architecture Teachers, Postsecondary",detailed,180,34
22226,25-1032,"Engineering Teachers, Postsecondary",detailed,660,34
22227,25-1041,"Agricultural Sciences Teachers, Postsecondary",detailed,60,34
22228,25-1042,"Biological Science Teachers, Postsecondary",detailed,1580,34
22229,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,80,34
22230,25-1052,"Chemistry Teachers, Postsecondary",detailed,840,34
22231,25-1053,"Environmental Science Teachers, Postsecondary",detailed,170,34
22232,25-1054,"Physics Teachers, Postsecondary",detailed,420,34
22233,25-1061,"Anthropology and Archeology Teachers, Postsecondary",detailed,170,34
22234,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed,300,34
22235,25-1063,"Economics Teachers, Postsecondary",detailed,370,34
22236,25-1064,"Geography Teachers, Postsecondary",detailed,50,34
22237,25-1065,"Political Science Teachers, Postsecondary",detailed,540,34
22238,25-1066,"Psychology Teachers, Postsecondary",detailed,1200,34
22239,25-1067,"Sociology Teachers, Postsecondary",detailed,630,34
22240,25-1069,"Social Sciences Teachers, Postsecondary, All Other",detailed,230,34
22241,25-1071,"Health Specialties Teachers, Postsecondary",detailed,4480,34
22242,25-1072,"Nursing Instructors and Teachers, Postsecondary",detailed,2090,34
22243,25-1081,"Education Teachers, Postsecondary",detailed,1650,34
22244,25-1082,"Library Science Teachers, Postsecondary",detailed,120,34
22245,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,400,34
22246,25-1112,"Law Teachers, Postsecondary",detailed,**,34
22247,25-1113,"Social Work Teachers, Postsecondary",detailed,410,34
22248,25-1121,"Art, Drama, and Music Teachers, Postsecondary",detailed,2780,34
22249,25-1122,"Communications Teachers, Postsecondary",detailed,970,34
22250,25-1123,"English Language and Literature Teachers, Postsecondary",detailed,2610,34
22251,25-1124,"Foreign Language and Literature Teachers, Postsecondary",detailed,610,34
22252,25-1125,"History Teachers, Postsecondary",detailed,710,34
22253,25-1126,"Philosophy and Religion Teachers, Postsecondary",detailed,470,34
22254,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",detailed,170,34
22255,25-1194,"Career/Technical Education Teachers, Postsecondary",detailed,2510,34
22256,25-1199,"Postsecondary Teachers, All Other",detailed,2560,34
22257,25-2011,"Preschool Teachers, Except Special Education",detailed,16420,34
22258,25-2012,"Kindergarten Teachers, Except Special Education",detailed,5290,34
22259,25-2021,"Elementary School Teachers, Except Special Education",detailed,40640,34
22260,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",detailed,26590,34
22261,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,30230,34
22262,25-2032,"Career/Technical Education Teachers, Secondary School",detailed,2150,34
22263,25-2051,"Special Education Teachers, Preschool",detailed,610,34
22264,25-2052,"Special Education Teachers, Kindergarten and Elementary School",detailed,11810,34
22265,25-2057,"Special Education Teachers, Middle School",detailed,7010,34
22266,25-2058,"Special Education Teachers, Secondary School",detailed,6100,34
22267,25-2059,"Special Education Teachers, All Other",detailed,1140,34
22268,25-3011,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",detailed,940,34
22269,25-3021,Self-Enrichment Teachers,detailed,9540,34
22270,25-3031,"Substitute Teachers, Short-Term",detailed,18130,34
22271,25-3097,"Tutors and Teachers and Instructors, All Other",detailed,8140,34
22272,25-4011,Archivists,detailed,420,34
22273,25-4012,Curators,detailed,210,34
22274,25-4013,Museum Technicians and Conservators,detailed,90,34
22275,25-4022,Librarians and Media Collections Specialists,detailed,4240,34
22276,25-4031,Library Technicians,detailed,2130,34
22277,25-9021,Farm and Home Management Educators,detailed,70,34
22278,25-9031,Instructional Coordinators,detailed,4330,34
22279,25-9044,"Teaching Assistants, Postsecondary",detailed,1690,34
22280,25-9045,"Teaching Assistants, Except Postsecondary",detailed,57080,34
22281,25-9099,"Educational Instruction and Library Workers, All Other",detailed,2320,34
22282,27-1011,Art Directors,detailed,1020,34
22283,27-1012,Craft Artists,detailed,60,34
22284,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",detailed,120,34
22285,27-1014,Special Effects Artists and Animators,detailed,470,34
22286,27-1019,"Artists and Related Workers, All Other",detailed,**,34
22287,27-1021,Commercial and Industrial Designers,detailed,1050,34
22288,27-1022,Fashion Designers,detailed,370,34
22289,27-1023,Floral Designers,detailed,860,34
22290,27-1024,Graphic Designers,detailed,5800,34
22291,27-1025,Interior Designers,detailed,1020,34
22292,27-1026,Merchandise Displayers and Window Trimmers,detailed,3600,34
22293,27-1027,Set and Exhibit Designers,detailed,180,34
22294,27-1029,"Designers, All Other",detailed,210,34
22295,27-2012,Producers and Directors,detailed,1960,34
22296,27-2021,Athletes and Sports Competitors,detailed,460,34
22297,27-2022,Coaches and Scouts,detailed,8180,34
22298,27-2023,"Umpires, Referees, and Other Sports Officials",detailed,220,34
22299,27-2032,Choreographers,detailed,**,34
22300,27-2041,Music Directors and Composers,detailed,320,34
22301,27-2042,Musicians and Singers,detailed,1060,34
22302,27-2090,"Miscellaneous Entertainers and Performers, Sports and Related Workers",detailed,540,34
22303,27-3011,Broadcast Announcers and Radio Disc Jockeys,detailed,230,34
22304,27-3023,"News Analysts, Reporters, and Journalists",detailed,580,34
22305,27-3031,Public Relations Specialists,detailed,4330,34
22306,27-3041,Editors,detailed,2980,34
22307,27-3042,Technical Writers,detailed,2260,34
22308,27-3043,Writers and Authors,detailed,1310,34
22309,27-3091,Interpreters and Translators,detailed,460,34
22310,27-3092,Court Reporters and Simultaneous Captioners,detailed,120,34
22311,27-3099,"Media and Communication Workers, All Other",detailed,930,34
22312,27-4011,Audio and Video Technicians,detailed,2390,34
22313,27-4012,Broadcast Technicians,detailed,**,34
22314,27-4014,Sound Engineering Technicians,detailed,360,34
22315,27-4021,Photographers,detailed,1240,34
22316,27-4031,"Camera Operators, Television, Video, and Film",detailed,550,34
22317,27-4032,Film and Video Editors,detailed,590,34
22318,27-4098,"Lighting Technicians and Media and Communication Equipment Workers, All Other",detailed,780,34
22319,29-1011,Chiropractors,detailed,810,34
22320,29-1021,"Dentists, General",detailed,3310,34
22321,29-1023,Orthodontists,detailed,220,34
22322,29-1029,"Dentists, All Other Specialists",detailed,160,34
22323,29-1031,Dietitians and Nutritionists,detailed,2150,34
22324,29-1041,Optometrists,detailed,950,34
22325,29-1051,Pharmacists,detailed,10080,34
22326,29-1071,Physician Assistants,detailed,2520,34
22327,29-1081,Podiatrists,detailed,390,34
22328,29-1122,Occupational Therapists,detailed,5100,34
22329,29-1123,Physical Therapists,detailed,7860,34
22330,29-1124,Radiation Therapists,detailed,600,34
22331,29-1125,Recreational Therapists,detailed,520,34
22332,29-1126,Respiratory Therapists,detailed,3870,34
22333,29-1127,Speech-Language Pathologists,detailed,5750,34
22334,29-1128,Exercise Physiologists,detailed,160,34
22335,29-1129,"Therapists, All Other",detailed,350,34
22336,29-1131,Veterinarians,detailed,1420,34
22337,29-1141,Registered Nurses,detailed,80140,34
22338,29-1151,Nurse Anesthetists,detailed,700,34
22339,29-1161,Nurse Midwives,detailed,170,34
22340,29-1171,Nurse Practitioners,detailed,6460,34
22341,29-1181,Audiologists,detailed,320,34
22342,29-1211,Anesthesiologists,detailed,1160,34
22343,29-1215,Family Medicine Physicians,detailed,1900,34
22344,29-1216,General Internal Medicine Physicians,detailed,1150,34
22345,29-1218,Obstetricians and Gynecologists,detailed,**,34
22346,29-1221,"Pediatricians, General",detailed,930,34
22347,29-1223,Psychiatrists,detailed,920,34
22348,29-1228,"Physicians, All Other; and Ophthalmologists, Except Pediatric",detailed,16650,34
22349,29-1248,"Surgeons, Except Ophthalmologists",detailed,1500,34
22350,29-1292,Dental Hygienists,detailed,6790,34
22351,29-1298,"Acupuncturists and Healthcare Diagnosing or Treating Practitioners, All Other",detailed,1260,34
22352,29-2010,Clinical Laboratory Technologists and Technicians,detailed,8140,34
22353,29-2031,Cardiovascular Technologists and Technicians,detailed,790,34
22354,29-2032,Diagnostic Medical Sonographers,detailed,2800,34
22355,29-2033,Nuclear Medicine Technologists,detailed,620,34
22356,29-2034,Radiologic Technologists and Technicians,detailed,5620,34
22357,29-2035,Magnetic Resonance Imaging Technologists,detailed,970,34
22358,29-2040,Emergency Medical Technicians and Paramedics,detailed,8370,34
22359,29-2051,Dietetic Technicians,detailed,510,34
22360,29-2052,Pharmacy Technicians,detailed,9810,34
22361,29-2053,Psychiatric Technicians,detailed,**,34
22362,29-2055,Surgical Technologists,detailed,2230,34
22363,29-2056,Veterinary Technologists and Technicians,detailed,3210,34
22364,29-2057,Ophthalmic Medical Technicians,detailed,2480,34
22365,29-2061,Licensed Practical and Licensed Vocational Nurses,detailed,17770,34
22366,29-2081,"Opticians, Dispensing",detailed,1720,34
22367,29-2091,Orthotists and Prosthetists,detailed,**,34
22368,29-2092,Hearing Aid Specialists,detailed,140,34
22369,29-2098,"Medical Dosimetrists, Medical Records Specialists, and Health Technologists and Technicians, All Other",detailed,5170,34
22370,29-9091,Athletic Trainers,detailed,820,34
22371,29-9092,Genetic Counselors,detailed,80,34
22372,29-9098,"Health Information Technologists, Medical Registrars, Surgical Assistants, and Healthcare Practitioners and Technical Workers, All Other",detailed,**,34
22373,31-1120,Home Health and Personal Care Aides,detailed,57060,34
22374,31-1131,Nursing Assistants,detailed,53980,34
22375,31-1132,Orderlies,detailed,2820,34
22376,31-1133,Psychiatric Aides,detailed,2380,34
22377,31-2011,Occupational Therapy Assistants,detailed,640,34
22378,31-2012,Occupational Therapy Aides,detailed,80,34
22379,31-2021,Physical Therapist Assistants,detailed,1420,34
22380,31-2022,Physical Therapist Aides,detailed,3560,34
22381,31-9011,Massage Therapists,detailed,3080,34
22382,31-9091,Dental Assistants,detailed,10300,34
22383,31-9092,Medical Assistants,detailed,19120,34
22384,31-9093,Medical Equipment Preparers,detailed,2440,34
22385,31-9094,Medical Transcriptionists,detailed,970,34
22386,31-9095,Pharmacy Aides,detailed,**,34
22387,31-9096,Veterinary Assistants and Laboratory Animal Caretakers,detailed,1950,34
22388,31-9097,Phlebotomists,detailed,4870,34
22389,31-9099,"Healthcare Support Workers, All Other",detailed,5740,34
22390,33-1011,First-Line Supervisors of Correctional Officers,detailed,640,34
22391,33-1012,First-Line Supervisors of Police and Detectives,detailed,5330,34
22392,33-1021,First-Line Supervisors of Firefighting and Prevention Workers,detailed,1590,34
22393,33-1090,"Miscellaneous First-Line Supervisors, Protective Service Workers",detailed,2170,34
22394,33-2011,Firefighters,detailed,5780,34
22395,33-2021,Fire Inspectors and Investigators,detailed,1590,34
22396,33-2022,Forest Fire Inspectors and Prevention Specialists,detailed,30,34
22397,33-3011,Bailiffs,detailed,100,34
22398,33-3012,Correctional Officers and Jailers,detailed,11320,34
22399,33-3021,Detectives and Criminal Investigators,detailed,3440,34
22400,33-3041,Parking Enforcement Workers,detailed,460,34
22401,33-3051,Police and Sheriff's Patrol Officers,detailed,21840,34
22402,33-3052,Transit and Railroad Police,detailed,430,34
22403,33-9011,Animal Control Workers,detailed,420,34
22404,33-9021,Private Detectives and Investigators,detailed,810,34
22405,33-9031,Gambling Surveillance Officers and Gambling Investigators,detailed,150,34
22406,33-9032,Security Guards,detailed,40170,34
22407,33-9091,Crossing Guards and Flaggers,detailed,5780,34
22408,33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",detailed,4430,34
22409,33-9098,"School Bus Monitors and Protective Service Workers, All Other",detailed,5620,34
22410,35-1011,Chefs and Head Cooks,detailed,2960,34
22411,35-1012,First-Line Supervisors of Food Preparation and Serving Workers,detailed,20530,34
22412,35-2011,"Cooks, Fast Food",detailed,7850,34
22413,35-2012,"Cooks, Institution and Cafeteria",detailed,6640,34
22414,35-2014,"Cooks, Restaurant",detailed,19800,34
22415,35-2015,"Cooks, Short Order",detailed,10320,34
22416,35-2019,"Cooks, All Other",detailed,170,34
22417,35-2021,Food Preparation Workers,detailed,37100,34
22418,35-3011,Bartenders,detailed,16570,34
22419,35-3023,Fast Food and Counter Workers,detailed,78900,34
22420,35-3031,Waiters and Waitresses,detailed,62540,34
22421,35-3041,"Food Servers, Nonrestaurant",detailed,13840,34
22422,35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,detailed,12340,34
22423,35-9021,Dishwashers,detailed,9300,34
22424,35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",detailed,9990,34
22425,35-9099,"Food Preparation and Serving Related Workers, All Other",detailed,4130,34
22426,37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,detailed,4500,34
22427,37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",detailed,2350,34
22428,37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",detailed,67210,34
22429,37-2012,Maids and Housekeeping Cleaners,detailed,21930,34
22430,37-2019,"Building Cleaning Workers, All Other",detailed,**,34
22431,37-2021,Pest Control Workers,detailed,2350,34
22432,37-3011,Landscaping and Groundskeeping Workers,detailed,28530,34
22433,37-3012,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",detailed,210,34
22434,37-3013,Tree Trimmers and Pruners,detailed,230,34
22435,37-3019,"Grounds Maintenance Workers, All Other",detailed,240,34
22436,39-1013,First-Line Supervisors of Gambling Services Workers,detailed,960,34
22437,39-1098,"First-Line Supervisors of Personal Service and Entertainment and Recreation Workers, Except Gambling Services",detailed,6220,34
22438,39-2011,Animal Trainers,detailed,330,34
22439,39-2021,Animal Caretakers,detailed,5960,34
22440,39-3011,Gambling Dealers,detailed,4410,34
22441,39-3012,Gambling and Sports Book Writers and Runners,detailed,180,34
22442,39-3021,Motion Picture Projectionists,detailed,390,34
22443,39-3031,"Ushers, Lobby Attendants, and Ticket Takers",detailed,2500,34
22444,39-3091,Amusement and Recreation Attendants,detailed,8600,34
22445,39-3092,Costume Attendants,detailed,**,34
22446,39-3093,"Locker Room, Coatroom, and Dressing Room Attendants",detailed,490,34
22447,39-3099,"Entertainment Attendants and Related Workers, All Other",detailed,90,34
22448,39-4021,Funeral Attendants,detailed,360,34
22449,39-4031,"Morticians, Undertakers, and Funeral Arrangers",detailed,830,34
22450,39-5011,Barbers,detailed,**,34
22451,39-5012,"Hairdressers, Hairstylists, and Cosmetologists",detailed,19280,34
22452,39-5092,Manicurists and Pedicurists,detailed,6440,34
22453,39-5093,Shampooers,detailed,1830,34
22454,39-5094,Skincare Specialists,detailed,2160,34
22455,39-6011,Baggage Porters and Bellhops,detailed,750,34
22456,39-6012,Concierges,detailed,1730,34
22457,39-7010,Tour and Travel Guides,detailed,810,34
22458,39-9011,Childcare Workers,detailed,19090,34
22459,39-9031,Exercise Trainers and Group Fitness Instructors,detailed,10640,34
22460,39-9032,Recreation Workers,detailed,11320,34
22461,39-9041,Residential Advisors,detailed,540,34
22462,39-9098,"Crematory Operators and Personal Care and Service Workers, All Other",detailed,2930,34
22463,41-1011,First-Line Supervisors of Retail Sales Workers,detailed,28460,34
22464,41-1012,First-Line Supervisors of Non-Retail Sales Workers,detailed,7760,34
22465,41-2011,Cashiers,detailed,93530,34
22466,41-2012,Gambling Change Persons and Booth Cashiers,detailed,270,34
22467,41-2021,Counter and Rental Clerks,detailed,9260,34
22468,41-2022,Parts Salespersons,detailed,4870,34
22469,41-2031,Retail Salespersons,detailed,125470,34
22470,41-3011,Advertising Sales Agents,detailed,2620,34
22471,41-3021,Insurance Sales Agents,detailed,10070,34
22472,41-3031,"Securities, Commodities, and Financial Services Sales Agents",detailed,16650,34
22473,41-3041,Travel Agents,detailed,2070,34
22474,41-3091,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",detailed,36570,34
22475,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",detailed,4680,34
