,occ_code,occ_title,o_group,tot_emp,area
1471,11-0000,Management Occupations,major,218260,34
1472,13-0000,Business and Financial Operations Occupations,major,251600,34
1473,15-0000,Computer and Mathematical Occupations,major,143860,34
1474,17-0000,Architecture and Engineering Occupations,major,52280,34
1475,19-0000,"Life, Physical, and Social Science Occupations",major,43130,34
1476,21-0000,Community and Social Service Occupations,major,71370,34
1477,23-0000,Legal Occupations,major,33650,34
1478,25-0000,Educational Instruction and Library Occupations,major,292710,34
1479,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,49130,34
1480,29-0000,Healthcare Practitioners and Technical Occupations,major,239800,34
1481,31-0000,Healthcare Support Occupations,major,171190,34
1482,33-0000,Protective Service Occupations,major,113430,34
1483,35-0000,Food Preparation and Serving Related Occupations,major,312960,34
1484,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,127820,34
1485,39-0000,Personal Care and Service Occupations,major,109870,34
1486,41-0000,Sales and Related Occupations,major,398500,34
1487,43-0000,Office and Administrative Support Occupations,major,571360,34
1488,45-0000,"Farming, Fishing, and Forestry Occupations",major,4290,34
1489,47-0000,Construction and Extraction Occupations,major,120810,34
1490,49-0000,"Installation, Maintenance, and Repair Occupations",major,138230,34
1491,51-0000,Production Occupations,major,174050,34
1492,53-0000,Transportation and Material Moving Occupations,major,449660,34
22048,11-1011,Chief Executives,detailed,770,34
22049,11-1021,General and Operations Managers,detailed,46400,34
22050,11-1031,Legislators,detailed,2780,34
22051,11-2011,Advertising and Promotions Managers,detailed,360,34
22052,11-2021,Marketing Managers,detailed,11220,34
22053,11-2022,Sales Managers,detailed,14770,34
22054,11-2030,Public Relations and Fundraising Managers,detailed,2100,34
22055,11-3010,Administrative Services and Facilities Managers,detailed,12840,34
22056,11-3021,Computer and Information Systems Managers,detailed,15570,34
22057,11-3031,Financial Managers,detailed,22000,34
22058,11-3051,Industrial Production Managers,detailed,5290,34
22059,11-3061,Purchasing Managers,detailed,2010,34
22060,11-3071,"Transportation, Storage, and Distribution Managers",detailed,5680,34
22061,11-3111,Compensation and Benefits Managers,detailed,430,34
22062,11-3121,Human Resources Managers,detailed,4220,34
22063,11-3131,Training and Development Managers,detailed,960,34
22064,11-9021,Construction Managers,detailed,6920,34
22065,11-9031,"Education and Childcare Administrators, Preschool and Daycare",detailed,1760,34
22066,11-9032,"Education Administrators, Kindergarten through Secondary",detailed,9370,34
22067,11-9033,"Education Administrators, Postsecondary",detailed,2110,34
22068,11-9039,"Education Administrators, All Other",detailed,530,34
22069,11-9041,Architectural and Engineering Managers,detailed,4160,34
22070,11-9051,Food Service Managers,detailed,3170,34
22071,11-9071,Gambling Managers,detailed,180,34
22072,11-9081,Lodging Managers,detailed,340,34
22073,11-9111,Medical and Health Services Managers,detailed,12620,34
22074,11-9121,Natural Sciences Managers,detailed,**,34
22075,11-9131,Postmasters and Mail Superintendents,detailed,440,34
22076,11-9141,"Property, Real Estate, and Community Association Managers",detailed,4550,34
22077,11-9151,Social and Community Service Managers,detailed,3470,34
22078,11-9161,Emergency Management Directors,detailed,310,34
22079,11-9171,Funeral Home Managers,detailed,320,34
22080,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",detailed,15360,34
22081,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",detailed,140,34
22082,13-1020,Buyers and Purchasing Agents,detailed,11410,34
22083,13-1031,"Claims Adjusters, Examiners, and Investigators",detailed,10070,34
22084,13-1032,"Insurance Appraisers, Auto Damage",detailed,640,34
22085,13-1041,Compliance Officers,detailed,12870,34
22086,13-1051,Cost Estimators,detailed,5510,34
22087,13-1071,Human Resources Specialists,detailed,18200,34
22088,13-1075,Labor Relations Specialists,detailed,4160,34
22089,13-1081,Logisticians,detailed,8310,34
22090,13-1111,Management Analysts,detailed,15250,34
22091,13-1121,"Meeting, Convention, and Event Planners",detailed,2620,34
22092,13-1131,Fundraisers,detailed,1090,34
22093,13-1141,"Compensation, Benefits, and Job Analysis Specialists",detailed,3940,34
22094,13-1151,Training and Development Specialists,detailed,6410,34
22095,13-1161,Market Research Analysts and Marketing Specialists,detailed,20400,34
22096,13-1198,"Project Management Specialists and Business Operations Specialists, All Other",detailed,49290,34
22097,13-2011,Accountants and Auditors,detailed,39820,34
22098,13-2020,Property Appraisers and Assessors,detailed,1090,34
22099,13-2031,Budget Analysts,detailed,1910,34
22100,13-2041,Credit Analysts,detailed,2440,34
22101,13-2052,Personal Financial Advisors,detailed,4480,34
22102,13-2053,Insurance Underwriters,detailed,3470,34
22103,13-2061,Financial Examiners,detailed,1890,34
22104,13-2071,Credit Counselors,detailed,740,34
22105,13-2072,Loan Officers,detailed,5790,34
22106,13-2081,"Tax Examiners and Collectors, and Revenue Agents",detailed,1460,34
22107,13-2082,Tax Preparers,detailed,1330,34
22108,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other",detailed,16870,34
22109,15-1211,Computer Systems Analysts,detailed,18510,34
22110,15-1212,Information Security Analysts,detailed,4120,34
22111,15-1221,Computer and Information Research Scientists,detailed,1110,34
22112,15-1231,Computer Network Support Specialists,detailed,5350,34
22113,15-1232,Computer User Support Specialists,detailed,14200,34
22114,15-1241,Computer Network Architects,detailed,4940,34
22115,15-1244,Network and Computer Systems Administrators,detailed,11140,34
22116,15-1245,Database Administrators and Architects,detailed,4090,34
22117,15-1251,Computer Programmers,detailed,9070,34
22118,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,detailed,50320,34
22119,15-1257,Web Developers and Digital Interface Designers,detailed,3930,34
22120,15-1299,"Computer Occupations, All Other",detailed,10630,34
22121,15-2011,Actuaries,detailed,850,34
22122,15-2021,Mathematicians,detailed,290,34
22123,15-2031,Operations Research Analysts,detailed,3010,34
22124,15-2041,Statisticians,detailed,1250,34
22125,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",detailed,1050,34
22126,17-1011,"Architects, Except Landscape and Naval",detailed,2590,34
22127,17-1012,Landscape Architects,detailed,340,34
22128,17-1021,Cartographers and Photogrammetrists,detailed,190,34
22129,17-1022,Surveyors,detailed,1270,34
22130,17-2011,Aerospace Engineers,detailed,2100,34
