GPCR,STANDARD_VALUE,smiles
Q13639,-3.778,C1CCN(CC1)CCCCNC(=O)NC2=CN=C(C=C2)C3=CC=C(C=C3)F
Q13639,-0.875,COC1=CC(=C(C=C1C(=O)NC2CCN(CC2)CCCCCN3CCCCC3)Cl)N
Q13639,0.343,COC1=CC(=C(C=C1C(=O)NCC2CCN(CC2)CC3=NC=CN3)Cl)N
Q13639,-2.258,CN(C)C1=C2C=CC=C3C2=C(C=C1)C(=O)N(C3=O)CC4CCN(CC4)CCOC(=O)C5=CC(=C(C=C5OC)N)Cl
Q13639,-2.699,CC(C)C1=NC(=C2N1C=CC=C2)C3=NN=C(O3)C4CCN(CC4)C(C)C
Q13639,-0.475,CC(C)C1=NC2=C(C=CC=C2N1)C(=O)NCC3CCN(CC3)CC(CN(C)C(=O)OC)O
Q13639,1.409,COC1=CC(=C(C=C1C(=O)NCC2CCN(CC2)CCCN3C=CC4=CC=CC=C43)Cl)N
Q13639,-3,C1CN(CCC1CNC(=O)C2=CNC3=CC=CC=C32)CC4=CC=C(C=C4)NS(=O)(=O)CC5=CC=CC=C5
Q13639,-0.892,CCCCN1CCC(CC1)COC(=O)C2=CC(=C(C3=C2OCCO3)N)[N+](=O)[O-]
Q13639,-0.896,CC(C)(C)C1=NC2=C(C=CC=C2N1)C(=O)NCC3CCN(CC3)CC(CN4CCN(CC4)S(=O)(=O)C)O
Q13639,0.7,CC(C)n1nc(C(=O)NCC2CCN(CCc3ccc(N)cc3)CC2)c2ccccc21
Q13639,-3.105,CN1CC(CC2C1CC3=CN(C4=CC=CC2=C34)C)CNC(=O)OCC5=CC=CC=C5
Q13639,-2.45,COC1=CC(=C(C=C1C(=O)NC2CN3CCC2CC3)Cl)N
Q13639,0.75,CCCCN1CCC(CC1)COC(=O)C2=C(C=C(C=C2)N)OC
Q13639,-1.114,COC1=CC(=C(C=C1C(=O)OCCN2CCC(CC2)NC(=O)CCCCCCCCCCN)Cl)N
Q13639,-2.25,CCCC(=O)N1CCC(CC1)CN2CCC(C(C2)OC)NC(=O)C3=CC(=C(C=C3OC)N)Cl
Q13639,-3.58,CSC1=NC(=O)C(=CC2=CNC3=C2C=C(C=C3)Br)N1
Q13639,0.1,CCCCN1CCC(CC1)CNC(=O)C2=C3C(=CC=C2)OCCO3
Q13639,-2.933,CC(C)C1=NC(=C2N1C=CC=C2)C3=NN=C(O3)C4CCN(CC4)CC5CC5
Q13639,-2.968,CNC1=NC(=O)C(=CC2=CNC3=CC=CC=C32)N1
Q13639,-1.833,CC(C)C(=O)N1CCC(CC1)CN2CCC(C(C2)OC)NC(=O)C3=CC(=C(C=C3OC)N)Cl
Q13639,-1.322,COC1=CC(=C(C=C1C(=O)OCCN2CCC(CC2)NC(=O)CCC(=O)NC3CCN(CC3)CCOC(=O)C4=CC(=C(C=C4OC)N)Cl)Cl)N
Q13639,-1.279,CC(C)(C)OC(=O)N(CCCC1=CC=C(C=C1)CCCN(CC(=O)NCC2CCN(CC2)CCOC(=O)C3=CC(=C(C=C3OC)N)Cl)C(=O)OC(C)(C)C)CC(=O)NCC4CCN(CC4)CCOC(=O)C5=CC(=C(C=C5OC)N)Cl
Q13639,-1.7,CC(C)N1C2=CC=CC=C2N(C1=O)C(=O)NC3CC4CCC(C3)N4C
Q13639,-1.672,CC(C)C1=NC(=C2N1C=CC=C2)C(=O)NC3CCN(CC3)CC(C)(C)COC
Q13639,-1.19,CC(C)C1=NC(=C2N1C=CC=C2)C(=O)NC3CCN(CC3)CC4CCC4
Q13639,-2.4,CN1C=C(C2=CC=CC=C21)C(=O)C(=O)NC3CN4CCC3CC4
Q13639,0.7,CS(=O)(=O)NC1=CC=C(C=C1)CN2CCC(CC2)CNC(=O)C3=C4C(=CC=C3)OCCO4
Q13639,-1.8,COC1CN(CCC1NC(=O)C2=CC(=C(C=C2OC)N)Cl)CCCOC3=CC=C(C=C3)F
Q13639,-3.632,COC1=CC(=C(C=C1C(=O)NC2CCN(CC2)CCN3C(=O)C4=CC=CC=C4C3=O)Cl)N
Q13639,0.99,CCOC(=O)CCCN1CCC(CC1)CNC(=O)C2=C3N(CCCO3)C4=CC=CC=C42
Q13639,-0.942,CCCN1CCC(CC1)COC2=NC3=CC=CC=C3C4=C2C=CC=N4
