GPCR,STANDARD_VALUE,smiles
P47898,-0.279,CC1=CN=C(C2=C1C=CC(=C2)C(=O)N=C(N)N)C3=C(C=CC=C3F)F
P47898,-3.477,CC(=O)N1C2CCCC1C=C(C2)CN3C4CCC3CC(C4)NC(=O)NC5=CC(=CC(=C5)C(F)(F)F)F
P47898,-3.138,COC1=CC2=C(CN=C(N2)N)C=C1
P47898,-1.004,CC1C2=C(C=CC=C2Cl)NC(=N1)NCC(F)F
P47898,-3.253,CNC1=NCc2ccccc2N1
P47898,-2.9,CNCCC1=CNC2=C1C=C(C=C2)CN3CCN(S3(=O)=O)C
P47898,-1.114,CC1CC(N1C(=O)C2CN(C3CC4=CNC5=CC=CC(=C45)C3=C2)C)C
P47898,0,CC(=NOC(=O)NC1=CC=CC=C1)C2=CC=CC(=C2)C3=CC=CS3
P47898,-2.4,CC1(CN(S(=O)(=O)N1)CC2=CC3=C(C=C2)NC=C3CCN(C)C)C
P47898,-1.703,CN1CCN(CC1)C2CC3=CC=CC=C3SC4=C2C=C(C=C4)SC
P47898,-3.5,CC1=NC2=C(C=C1)C(=CC=C2)OCCN3CCN(CC3)CC4=CC=CC5=C4N=CC=C5
P47898,-2,CCC(CO)NC(=O)C1CN(C2CC3=CN(C4=CC=CC(=C34)C2=C1)C)C
P47898,-0.799,CN(C)CCN(CC1=CC=C(C=C1)C2=CC=C(C=C2)CNCCC3=CC=CC=C3)C(=O)CCC4CCCC4
P47898,-2.907,C1C2=C(C=CC(=C2)Cl)NC(=N1)N
P47898,-2.89,CN1CCN(CC1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl
P47898,-2.225,O=S(=O)(c1ccc2cc[nH]c2c1)N1CCCC1CCN1CCC(Oc2ccc(Cl)cc2)CC1
P47898,-3.699,CNS(=O)(=O)C1=CC2=C(C=C1)NC=C2CCN(C)C
P47898,-3.122,CN1C(=CC2=CNC3=C2C=CC=C3Br)C(=O)N=C1N
P47898,-3.243,CCCN(CCC)C1CCC2=C(C1)C(=CC=C2)O
P47898,-2.217,CN1C2=C(CN(CC2)CCCOC3=CC=C(C=C3)F)C4=C1C=CC(=C4)OC
P47898,-2.265,C1=CC2=C(C=C1Br)NC=C2C=C3C(=O)N=C(N3)N
P47898,-1.899,CN(C)CCC1=CNC2=C1C=C(C=C2)N3CCN(S3(=O)=O)CC4=CC=CC=C4
P47898,-2.301,CN1C2=C(CN(CC2)CCCOC3=CC(=C(C=C3)Cl)Cl)C4=CC=CC=C41
P47898,-1.431,CC1CC(N1C(=O)C2CN(C3CC4=CNC5=CC=CC(=C45)C3=C2)C)C
P47898,-2.004,C1=CC=C2C(=C1)C(=CN2)C=C3C(=O)N=C(N3)N
P47898,-3.154,CNC1=NC(=O)C(=CC2=CNC3=C2C=CC=C3Br)N1C
P47898,-3.665,CCC1=C(C2=C(N1)C=CC(=C2)OC)CCN(C)C
P47898,-1.987,COc1cccc2c1NC(N)=NC2
P47898,-3.2,CC1=NC2=C(C=C1)C(=CC=C2)OCCN3CCC(CC3)CC4=CC(=CC=C4)N5CCCS5(=O)=O
P47898,-2.446,CC1C2=CC=CC=C2NC(=N1)NC3CCCCN(C3=O)C
P47898,-3.894,CN1C(=CC2=CNC3=C2C(=CC=C3)Br)C(=O)N(C1=N)C
P47898,-2.666,CC1=CC=CC2=C1NC(=NC2)N
P47898,-4.204,COC1=CC(=C(C=C1C(=O)NC2CN3CCC2CC3)Cl)N
P47898,0.125,C1CC12CN(CC3=C(C=CC(=C23)F)C4=C(C=CC=C4F)F)C(=O)N=C(N)N
P47898,-2.684,NC1=NCc2cc(Cl)ccc2N1
P47898,-1.74,CN1C2=C(CN(CC2)CCCOC3=CC=C(C=C3)F)C4=CC=CC=C41
P47898,-0.699,COc1ccccc1N1CCN(CCCCC(=O)n2c3ccccc3c3ccccc32)CC1
P47898,-3.138,COc1ccc2c(c1)NC(N)=NC2
P47898,-1.996,C1C2=C(C=CC=C2Cl)NC(=N1)N
P47898,-2.9,C1CN(CCN1C2=CC=C(C=C2)C#N)C(=O)COC3=CC4=C(C=C3)NC=C4CCN
P47898,-0.301,CC1C2=C(C=CC(=C2Cl)Cl)NC(=N1)N
P47898,-3.19,CN1C(=O)C(=CC2=CNC3=C2C=CC=C3Br)N=C1N
P47898,-2.66,CCOC(=O)C1=CC(=CC=C1)NC2=NC3(CCCCC3)N=C(N2)N
P47898,-3.833,COC1=C(C=CC=C1OCCF)C(C2CCN(CC2)CCC3=CC=C(C=C3)F)O
P47898,-2.1,CCN1CCN(S1(=O)=O)CCC2=CC3=C(C=C2)NC=C3CCN(C)C
P47898,-2.74,NC1=NCc2c(F)cccc2N1
P47898,-2.7,CC(C)N1CCN(S1(=O)=O)CC2=CC3=C(C=C2)NC=C3CCN(C)C
P47898,-2.342,Cc1ccc(Sc2ccccc2N2CCNCC2)c(C)c1
P47898,0,CC(=NOC(=O)NC1=CC=CC=C1)C2=CC=CC(=C2)C3=CC=CS3
P47898,-3.069,CC1(C2=CC=CC=C2NC(=N1)N)C
P47898,-3.875,C1C2C3CC4C2C5C1C3C(C45)NCC67C8C9C6C1C9C8C71
P47898,-2.093,CC1C2=CC=CC=C2NC(=N1)NCCC3CCCCC3
P47898,-2.602,C1CN(CC2=CC=CC=C21)CCCOC3=CC=C(C=C3)F
P47898,-2.811,C1C2=C(C=C(C=C2)F)NC(=N1)N
P47898,-3.983,CN1C(=CC2=CNC3=C2C=CC(=C3)Br)C(=O)N(C1=N)C
P47898,-2.531,CN1C2=C(CN(CC2)CCCC(C3=CC=C(C=C3)F)N=O)C4=CC=CC=C41
P47898,0.022,C1CC12CN(CC3=C(C=CC(=C23)F)C4=CC=CC=C4F)C(=O)N=C(N)N
P47898,-0.663,C1=CC(=C(C(=C1)F)C2=NC=C(C3=C2C=C(C=C3)C(=O)N=C(N)N)C(F)F)F
P47898,-2.36,CN1C(=O)C=NN(C1=O)CCCCN2CCN(CC2)C3=CC=CC4=C3C=C(C=C4)OC
P47898,-3.033,CN1C=C(C2=CC=CC=C21)CN(C)CCCOC3=CC=C(C=C3)F
P47898,-2.907,NC1=NCc2cc(Cl)ccc2N1
P47898,-1.602,C1CN(CCN1)C2=CC=CC3=CC=CC=C32
P47898,-2.382,CCCOCCNC1=NC(C2=CC=CC=C2N1)C
P47898,-1.633,C1C2=C(C=CC(=C2Cl)Cl)NC(=N1)N
P47898,-0.568,C1CN(CC2=C(C=CC(=C21)F)C3=CC(=C(C=C3F)F)F)C(=O)N=C(N)N
P47898,-3.828,CN1C(=CC2=CNC3=C2C=C(C=C3)Br)C(=O)N(C1=N)C
P47898,-2.666,Cc1cccc2c1NC(N)=NC2
P47898,-2.558,CN1CCN(CC1)CCC=C2C3=CC=CC=C3SC4=C2C=C(C=C4)S(=O)(=O)N(C)C
P47898,-0.204,CC1CN(CC2=C(C=CC(=C12)F)C3=C(C=CC=C3F)F)C(=O)N=C(N)N
P47898,-1.94,CC1C2=CC=CC=C2NC(=N1)NCC(F)F
P47898,-3.322,C1CN(CCN1)C2=CC3=CC=CC=C3C=C2
P47898,-3.132,C1CN(CCN1)C2=CC(=CC=C2)Cl
P47898,-2.086,CC1C2=CC=CC=C2NC(=N1)NC3CCC3
P47898,-3.1,CC1=NC2=C(C=C1)C(=CC=C2)OCCN3CCC(CC3)CC4=CC(=CC=C4)NS(=O)(=O)C
P47898,-2.775,CCOC(=O)C1=CC(=CC=C1)NC2=NC3(CCCCC3)N=C(N2)N(C)C
P47898,-2.225,CN1C2=C(CN(CC2)CCCC(=O)C3=CC=CC=C3)C4=CC=CC=C41
P47898,0.167,C1CN(CC2=C(C=CC(=C21)F)C3=C(C=C(C=C3F)F)F)C(=O)N=C(N)N
P47898,-2.713,COC1=CC=CC=C1N2CCN(CC2)CCCCCC(=O)NCC3=CC=CC=C3C4=CC=CC=C4Cl
P47898,-3.283,CN1C=CC2=C1CCN(C2)CCCOC3=CC=C(C=C3)F
P47898,-3.63,C=CCN(CCC1=CNC2=C1C=C(C=C2)F)CC=C
P47898,-0.279,C1CN(CC2=C(C=CC(=C21)F)C3=C(C=C(C=N3)Cl)Cl)C(=O)N=C(N)N
P47898,-3.529,C1CN(CCN1CCCC(C2=CC=C(C=C2)F)C3=CC=C(C=C3)F)C(=O)OCCC4=CC=C(C=C4)C#N
P47898,-0.114,C1=CC2=NC=C(C(=C2C=C1C(=O)N=C(N)N)C3=C(C=C(C=C3)F)F)Cl
P47898,-2.438,Cc1ccc2c(c1)NC(N)=NC2
P47898,-2.267,CN1C2=C(CN(CC2)CC=CCCC3=CC=CC=C3)C4=CC=CC=C41
P47898,-3.586,CN1CCN(CC1)C2=C3C=CC=CC3=NC4=C(N2)C=C(C=C4)Cl
P47898,-0.477,C1CN(CCN1)C2=CC=CC3=C2C=C(C=C3)O
P47898,-1.38,CCC1C2=CC=CC=C2NC(=N1)N
P47898,0.699,CCN(CC)C(=O)C1CN(C2CC3=C(NC4=CC=CC(=C34)C2=C1)I)C
P47898,-0.82,C1C(C2=C(C=CC(=C2CN1C(=O)N=C(N)N)C3=C(C=C(C=C3)F)F)Cl)F
P47898,-0.799,CC1C2=C(C(=CC=C2)OC)NC(=N1)N
P47898,-3.23,C1CN(CCC1COC2=C3C=CC=NC3=C4C=CC=C(C4=N2)F)CCCC5=CC=C(C=C5)I
P47898,-2.8,CN1CCN(S1(=O)=O)CC2=CC3=C(C=C2)NC=C3CCN
P47898,-0.431,C1CN(CC2=C(C=CC(=C21)Cl)C3=C(C=C(C=C3)F)F)C(=O)N=C(N)N
P47898,-0.041,C1CN(CC2=C(C=CC(=C21)Cl)C3=C(C=C(C=C3F)F)F)C(=O)N=C(N)N
P47898,-3.163,CNC1=NC(=O)C(=CC2=CNC3=C2C(=CC=C3)Br)N1C
P47898,-3.352,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F
P47898,-0.398,C1=CC2=C(C=C1C(=O)N)C(=CN2)CCN
P47898,-3.7,COC(=O)C1C(CCC2C1CC3C4=C(CCN3C2)C5=CC=CC=C5N4)O
P47898,-3.368,CN1C(=O)C(=CC2=CNC3=C2C=C(C=C3)Br)N=C1N
P47898,-3.782,C1C2C3CC4C2C5C1C3C(C45)NCC6=CC7=C(C=C6)OCO7
P47898,-3.299,NC1=NCc2cccc(F)c2N1
