Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Food Waste,FoodWaste,bulk_dens,Bulk density - wet,435,kg/m3,4,,,,200,900,,
Food Waste,FoodWaste,ts_cont,Total solids content - wet,0.2,fraction wet weight,,,,,,,,
Food Waste,FoodWaste,VS_cont,VS content - dry,0.91,kg VS/kg TS,5,0.91,,,0,0.97,,
Food Waste,FoodWaste,C_cont,Organic C content - dry,0.5,fraction TS,5,0.5,,,0.4,0.6,,
Food Waste PFAS Concentration,FoodWaste_PFAS,PFOA,PFOA concentration,0.00553,10e-6g/kg,,,,,,,,
Food Waste PFAS Concentration,FoodWaste_PFAS,PFOS,PFOS concentration,0.00934,10e-6g/kg,,,,,,,,
Food Waste PFAS Concentration,FoodWaste_PFAS,PFBA,PFBA concentration,0.071521,10e-6g/kg,,,,,,,,
Food Waste PFAS Concentration,FoodWaste_PFAS,PFPeA,PFPeA concentration,0.0115,10e-6g/kg,,,,,,,,
Food Waste PFAS Concentration,FoodWaste_PFAS,PFHxA,PFHxA concentration,0.001233,10e-6g/kg,,,,,,,,
Food Waste PFAS Concentration,FoodWaste_PFAS,PFHpA,PFHpA concentration,0.001855,10e-6g/kg,,,,,,,,
Food Waste PFAS Concentration,FoodWaste_PFAS,PFNA,PFNA concentration,0.002867,10e-6g/kg,,,,,,,,
Food Waste PFAS Concentration,FoodWaste_PFAS,PFDA,PFDA concentration,0.003004,10e-6g/kg,,,,,,,,
Food Waste PFAS Concentration,FoodWaste_PFAS,PFBS,PFBS concentration,0.00045,10e-6g/kg,,,,,,,,
Food Waste PFAS Concentration,FoodWaste_PFAS,PFHxS,PFHxS concentration,0.0024,10e-6g/kg,,,,,,,,
Compost,Compost,bulk_dens,Bulk density - wet,500,kg/m3,5,500,,,400,700,[48],
Compost,Compost,ts_cont,TS content,0.6,kg TS/kg,5,0.6,,,0.45,0.65,,
Compost,Compost,VS_cont,VS content - dry,0.6,kg VS/kg TS,5,0.6,,,0.4,0.7,,
Compost,Compost,C_cont,Organic C content - dry,0.28,kg C/kg TS,5,0.28,,,0.15,0.5,,
Compost PFAS Concentration,Compost_PFAS,PFOA,PFOA concentration,5.24,10e-6g/kg,5,5.24,,,0,26,,
Compost PFAS Concentration,Compost_PFAS,PFOS,PFOS concentration,7.375,10e-6g/kg,5,7.375,,,0,88.5,,
Compost PFAS Concentration,Compost_PFAS,PFBA,PFBA concentration,3.267,10e-6g/kg,5,3.267,,,0,12.04,,
