Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Log partition coefficient,LogPartCoef,PFOA,PFOA Log Koc (Composting),2.19,log L/kg OC,5,2.19,,,1.3,4.5,"[2,3,4,5]",
Log partition coefficient,LogPartCoef,PFOS,PFOS Log Koc (Composting),3.04,log L/kg OC,5,3.04,,,2.4,4.7,"[2,3,4,5]",
Log partition coefficient,LogPartCoef,PFBA,PFBA Log Koc (Composting),1.88,log L/kg OC,4,,,,1.3,1.88,"[2,3,4,5]",
Log partition coefficient,LogPartCoef,PFPeA,PFPeA Log Koc (Composting),1.37,log L/kg OC,,,,,,,"[2,3,4,5]",
Log partition coefficient,LogPartCoef,PFHxA,PFHxA Log Koc (Composting),1.77,log L/kg OC,5,1.77,,,1.31,2.1,"[2,3,4,5]",
Log partition coefficient,LogPartCoef,PFHpA,PFHpA Log Koc (Composting),1.97,log L/kg OC,,,,,,2.19,"[2,3,4,5]",
Log partition coefficient,LogPartCoef,PFNA,PFNA Log Koc (Composting),2.63,log L/kg OC,5,2.63,,,2.3,3.18,"[2,3,4,5]",
Log partition coefficient,LogPartCoef,PFDA,PFDA Log Koc (Composting),3.24,log L/kg OC,5,3.24,,,2.65,3.78,"[2,3,4,5]",
Log partition coefficient,LogPartCoef,PFBS,PFBS Log Koc (Composting),1.51,log L/kg OC,,,,,,1.79,"[2,3,4,5]",
Log partition coefficient,LogPartCoef,PFHxS,PFHxS Log Koc (Composting),2.79,log L/kg OC,5,2.79,,,2.05,2.875,"[2,3,4,5]",
Amendment Material Properties,AmndProp,mass_ratio,Mass of amendment to mass of feedstock,0.7,kg TS/kg TS,4,,,,0.25,1.1,[62],
Amendment Material Properties,AmndProp,ts_cont,TS content of amendmente _wet,0.55,fraction wet weight,5,0.55,,,0.5,0.6,[63],
Amendment Material Properties,AmndProp,C_cont,Organic C content - dry,0.58,fraction TS,4,,,,0.5,0.6,[48],
Amendment PFAS Concentration,AmndPFAS,PFOA,PFOA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFOS,PFOS concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFBA,PFBA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFPeA,PFPeA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFHxA,PFHxA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFHpA,PFHpA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFNA,PFNA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFDA,PFDA concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFBS,PFBS concentration - dry mass,0,10e-6g/kg,,,,,,,,
Amendment PFAS Concentration,AmndPFAS,PFHxS,PFHxS concentration - dry mass,0,10e-6g/kg,,,,,,,,
Active composting Input,AComp,is_covered,Is active composting (AC) covered?,0,"1:TRUE,0:FALSE",,,,,,,,User should update based on process design
Active composting Input,AComp,bulk_dens,Wet bulk density (AC pile),530,kg/m3,4,,,,470,600,[48],
Active composting Input,AComp,wind_ht,Windrow height (AC pile),2.5,m,4,,,,1.2,2.7,[48],
Active composting Input,AComp,wind_wid,Windrow width (AC pile),4.5,m,4,,,,3,6,[48],
Active composting Input,AComp,frac_C_lost,Fraction of organic C lost during AC,0.5,kg C loss/kg C,4,,,,0.4,0.8,[22],
Active composting Input,AComp,ts_end,Total solids content at the end of AC,0.55,kg TS/kg,4,,,,0.5,0.6,[48],
Active composting Input,AComp,frac_sol_to_cw,Fraction of solids in contact water (AC),0,fraction,,,,,,,,
Active composting Input,AComp,sol_loss_per_C_loss,Total solids loss per loss per C loss (AC),2,kg TS/kg C,,,,,1.8,2.2,"[64,24]",
Active composting Input,AComp,is_cw_col,Is AC contact water collected?,1,"1:TRUE,0:FALSE",,,,,,,,User should update based on process design.
Active composting Input,AComp,frac_cw_col,Fraction contact water collection during AC,0.98,fraction,,,,,,,,
Active composting Input,AComp,ac_time,Activate composting time,70,days,,,,,,,[48],
Curing Input,Curing,frac_C_lost,Fraction of organic C lost during curing,0.1,kg C/kg C,4,,,,0.05,0.2,[42],
Curing Input,Curing,ts_end,Total solids content at the end of curing,0.65,kg TS/kg,4,,,,0.6,0.7,[42],
Curing Input,Curing,bulk_dens,Wet bulk density of curing pile,530,kg/m3,4,,,,470,600,[48],
Curing Input,Curing,wind_ht,Windrow height of curing pile,2,m,4,,,,1.5,2.4,[48],
Curing Input,Curing,wind_wid,Windrow width of curing pile,4,m,4,,,,3,5,[48],
Curing Input,Curing,sol_loss_per_C_loss,Total solids loss per loss per C loss (Curing),2,kg TS/kg C,4,,,,1.8,2.2,,
Curing Input,Curing,curing_time,Curing composting time,30,days,,,,,,,[48],
Precipitation Data,Precip,ann_precip,Annual precipitation rate,1.13,m/yr,,,,,,,,
Volatilization,Volatilization,frac_vol_loss,Fraction of PFAS lost to volatilization,0,,,,,,,,,Assume no volatilization 
Screen,Screen,frac_rmvd,Fraction of incoming feedstock removed by screen,0,fraction,,,,,,,,
