Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Total destruction and removal efficiency,DRE,PFOA,DRE of PFOA,0.97,fraction,,,,,0.5,0.99,,
Total destruction and removal efficiency,DRE,PFOS,DRE of PFOS,0.97,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFBA,DRE of PFBA,0.97,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFPeA,DRE of PFPeA,0.97,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFHxA,DRE of PFHxA,0.97,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFHpA,DRE of PFHpA,0.97,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFNA,DRE of PFNA,0.97,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFDA,DRE of PFDA,0.97,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFBS,DRE of PFBS,0.97,fraction,,,,,,,,
Total destruction and removal efficiency,DRE,PFHxS,DRE of PFHxS,0.97,fraction,,,,,,,,
Fraction of not destroyed and removed that remains in residuals,Frac_to_res,PFOA,Fraction of PFOA remained in residuals,0.33,fraction,,,,,,,,
Fraction of not destroyed and removed that remains in residuals,Frac_to_res,PFOS,Fraction of PFOS remained in residuals,0.33,fraction,,,,,,,,
Fraction of not destroyed and removed that remains in residuals,Frac_to_res,PFBA,Fraction of PFBA remained in residuals,0.33,fraction,,,,,,,,
Fraction of not destroyed and removed that remains in residuals,Frac_to_res,PFPeA,Fraction of PFPeA remained in residuals,0.33,fraction,,,,,,,,
Fraction of not destroyed and removed that remains in residuals,Frac_to_res,PFHxA,Fraction of PFHxA remained in residuals,0.33,fraction,,,,,,,,
Fraction of not destroyed and removed that remains in residuals,Frac_to_res,PFHpA,Fraction of PFHpA remained in residuals,0.33,fraction,,,,,,,,
Fraction of not destroyed and removed that remains in residuals,Frac_to_res,PFNA,Fraction of PFNA remained in residuals,0.33,fraction,,,,,,,,
Fraction of not destroyed and removed that remains in residuals,Frac_to_res,PFDA,Fraction of PFDA remained in residuals,0.33,fraction,,,,,,,,
Fraction of not destroyed and removed that remains in residuals,Frac_to_res,PFBS,Fraction of PFBS remained in residuals,0.33,fraction,,,,,,,,
Fraction of not destroyed and removed that remains in residuals,Frac_to_res,PFHxS,Fraction of PFHxS remained in residuals,0.33,fraction,,,,,,,,
Combustion parameters,Comb_param,frac_vs_to_res,Fraction of incoming Volatile Solids to Combustion Residuals,0.05,fraction,,,,,,,,
Combustion parameters,Comb_param,res_ts_cont,Solids content of residuals,0.85,fraction,,,,,0.75,0.95,,
