SOC,Resistance [Ohm]
0.003231673,0.122990641
0.022441415,0.125680253
0.041651158,0.117554178
0.057827783,0.109401128
0.07299337,0.101593473
0.087147917,0.094038506
0.100291425,0.086861897
0.113434933,0.079421586
0.12758948,0.071223844
0.145788184,0.065991113
0.168031044,0.065818026
0.190273904,0.066211299
0.212516763,0.066478715
0.234759623,0.067186633
0.257002483,0.0676743
0.279245343,0.067721464
0.301488203,0.067925951
0.323731063,0.068350689
0.345973923,0.068460782
0.368216783,0.06797305
0.398547955,0.069221573
0.420790815,0.069205809
0.443033675,0.069630546
0.465276535,0.070055284
0.487519395,0.071927388
0.509762255,0.07238359
0.532005115,0.072962504
0.593678499,0.075173238
0.610866163,0.075337099
0.63327753,0.075539057
0.655351883,0.077866777
0.677594743,0.079707417
0.699837603,0.081233411
0.722080463,0.083262837
0.744323323,0.08519787
0.766566183,0.088234159
0.788809042,0.09086141
0.811051902,0.095376529
0.830261645,0.103413528
0.849038085,0.107555369
0.863625935,0.112897395
0.880813599,0.123350487
0.89092399,0.132269935
0.898001264,0.141214931
0.901034381,0.149906207
0.904067498,0.158635427
0.905752563,0.168099498
0.910133733,0.177468049
0.912444679,0.186834405
0.916873993,0.196058869
0.918222045,0.204964057
0.920532992,0.214429961
0.92428828,0.222956786
0.925299319,0.230387311
0.926984384,0.238233642
0.927321397,0.246944294
0.931221119,0.253696176
