Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
AD parameters,AD,frac_PFAS_to_Vol,Fraction of PFAS lost to volatilization,0,fraction,,,,,,,,
AD parameters,AD,frac_VS_loss,Fraction VS destruction during AD,0.55,fraction,4,,,,0.45,0.65,,
AD parameters,AD,frac_cured,Fraction of digestate cured,1,fraction,,,,,,,,
AD parameters,AD,Reac_moist,Reactor moisture content _ wet,0.92,fraction,5,0.92,,,0.9,0.98,,
Dewatering,Dew,Digestate_moist,Moisture Content of Solids Stream After Dewatering,0.76,fraction,5,0.76,,,0.65,0.87,,
Curing Input,Curing,frac_C_lost,Fraction of organic C lost during curing,0.5,fraction C,,,,,,,,
Curing Input,Curing,ts_end,Solids content at the end of curing,0.5,fraction ts,,,,,,,,
Curing Input,Curing,bulk_dens,Bulk density of curing pile,400,kg/m3,,,,,,,,
Curing Input,Curing,wind_ht,Curing windrow height,4,m,,,,,,,,
Curing Input,Curing,wind_wid,Curing windrow width,6,m,,,,,,,,
Curing Input,Curing,sol_loss_per_C_loss,Solids loss per C loss,2,kg/kg,,,,,,,,
Curing Input,Curing,curing_time,Curing time,30,days,,,,,,,,
Precipitation Data,Precip,ann_precip,Annual precipitation,1,m/yr,,,,,,,,
Log partition coefficient,LogPartCoef,PFOA,PFOA Log Koc (AD),2.19,log L/kg OC,5,2.19,,,1.3,4.5,,
Log partition coefficient,LogPartCoef,PFOS,PFOS Log Koc (AD),3.04,log L/kg OC,5,3.04,,,2.4,4.7,,
Log partition coefficient,LogPartCoef,PFBA,PFBA Log Koc  (AD),1.88,log L/kg OC,4,,,,1.3,1.88,,
Log partition coefficient,LogPartCoef,PFPeA,PFPeA Log Koc (AD),1.37,log L/kg OC,,,,,,,,
Log partition coefficient,LogPartCoef,PFHxA,PFHxA Log Koc (AD),1.77,log L/kg OC,5,1.77,,,1.31,2.1,,
Log partition coefficient,LogPartCoef,PFHpA,PFHpA Log Koc (AD),1.97,log L/kg OC,,,,,,2.19,,
Log partition coefficient,LogPartCoef,PFNA,PFNA Log Koc (AD),2.63,log L/kg OC,5,2.63,,,2.3,3.18,,
Log partition coefficient,LogPartCoef,PFDA,PFDA Log Koc (AD),3.24,log L/kg OC,5,3.24,,,2.65,3.78,,
Log partition coefficient,LogPartCoef,PFBS,PFBS Log Koc (AD),1.51,log L/kg OC,,,,,,1.79,,
Log partition coefficient,LogPartCoef,PFHxS,PFHxS Log Koc (AD),2.79,log L/kg OC,5,2.79,,,2.05,2.875,,
