Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
Log partition coefficient,LogPartCoef,PFOA,PFOA Log Koc (soils/sediments),2.19,log L/kg OC,5,2.19,,,1.3,4.5,"[2,3,4,5]",
Log partition coefficient,LogPartCoef,PFOS,PFOS Log Koc  (soils/sediments),3.04,log L/kg OC,5,3.04,,,2.4,4.7,"[2,3,4,5]",
Log partition coefficient,LogPartCoef,PFBA,PFBA Log Koc  (soils/sediments),1.88,log L/kg OC,4,,,,1.3,1.88,"[2,3,4,5]",
Log partition coefficient,LogPartCoef,PFPeA,PFPeA Log Koc (soils/sediments),1.37,log L/kg OC,,,,,,,"[2,3,4,5]",
Log partition coefficient,LogPartCoef,PFHxA,PFHxA Log Koc (soils/sediments),1.77,log L/kg OC,5,1.77,,,1.31,2.1,"[2,3,4,5]",
Log partition coefficient,LogPartCoef,PFHpA,PFHpA Log Koc (soils/sediments),1.97,log L/kg OC,,,,,,2.19,"[2,3,4,5]",
Log partition coefficient,LogPartCoef,PFNA,PFNA Log Koc (soils/sediments),2.63,log L/kg OC,5,2.63,,,2.3,3.18,"[2,3,4,5]",
Log partition coefficient,LogPartCoef,PFDA,PFDA Log Koc (soils/sediments),3.24,log L/kg OC,5,3.24,,,2.65,3.78,"[2,3,4,5]",
Log partition coefficient,LogPartCoef,PFBS,PFBS Log Koc (soils/sediments),1.51,log L/kg OC,,,,,,1.79,"[2,3,4,5]",
Log partition coefficient,LogPartCoef,PFHxS,PFHxS Log Koc (soils/sediments),2.79,log L/kg OC,5,2.79,,,2.05,2.875,"[2,3,4,5]",
Land application,LandApp,appl_dens,kg dry applied per area,2,kg TS/m2,5,2,,,0.8,18,[7],
Land application,LandApp,depth_mix,Depth of soil mixed,0.1,m,4,,,,0.05,0.2,[8],
Soil Properties,SoilProp,bulk_dens,Soil bulk density - wet,1300,kg/m3,4,,,,1100,1800,[9],
Soil Properties,SoilProp,ts_cont,Soil total solids content -wet,0.85,kg TS/kg,4,,,,0.7,1,[10],
Soil Properties,SoilProp,C_cont,Soil organic C content -dry,0.015,fraction TS,4,,,,0.005,0.05,[9],
Precipitation Data,Precip,ann_precip,Annual precipitation,1,m/yr,,,,,,,[11],
Precipitation Data,Precip,frac_runoff,Run-off fraction of precipitation,0.05,frac,,,,,,,[12],
Precipitation Data,Precip,frac_ET,Evapotranspiration fraction of precipitation,0.5,frac,4,,,,0.033,1,[13],
Volatilization,Volatilization,frac_vol_loss,Fraction of PFAS lost to volatilization,0,fraction,,,,,,,,
