Category,Dictonary_Name,Parameter Name,Parameter Description,amount,unit,uncertainty_type,loc,scale,shape,minimum,maximum,Reference,Comment
LF MSW Properties,LFMSW,frac_of_msw,Fraction of PFAS containing waste mixed with MSW,0.01,fraction,4,,,,0.001,0.1,,
LF MSW Properties,LFMSW,bulk_dens,MSW bulk density - wet,890,kg/m3,4,,,,800,1000,,
LF MSW Properties,LFMSW,ts_cont,Total solids content of the bulk MSW in the landfill  - wet,0.746,fraction wet weight,4,,,,0.69,0.77,,
LF MSW Properties,LFMSW,C_cont,MSW organic C content -dry,0.331,fraction TS,4,,,,0.259,0.334,,
LF Water Balance,Water_Blnc,leach_gpad,Leachate generation rate per area,500,gal/acre-day,4,,,,250,1000,,
LF Water Balance,Water_Blnc,is_leach_col,Is leachate collected,1,1:TRUE/0:FALSE,,,,,,,,
LF Water Balance,Water_Blnc,frac_leach_col,Fraction of leachate collected,0.998,fraction,4,,,,0.98,0.999,,
Volatilization,Volatilization,frac_vol_loss,Fraction of PFAS lost to volatilization,0,fraction,,,,,,,,
LF Parameters,LF,lf_ton_area,Landfill capacity per acre,100000,Mg/acre,4,,,,25000,200000,,
Log partition coefficient,LogPartCoef,PFOA,PFOA Log Koc (Landfill),2.19,log L/kg OC,5,2.19,,,1.3,4.5,"[2,3,4,5]",
Log partition coefficient,LogPartCoef,PFOS,PFOS Log Koc (Landfill),3.04,log L/kg OC,5,3.04,,,2.4,4.7,"[2,3,4,5]",
Log partition coefficient,LogPartCoef,PFBA,PFBA Log Koc (Landfill),1.88,log L/kg OC,4,,,,1.3,1.88,"[2,3,4,5]",
Log partition coefficient,LogPartCoef,PFPeA,PFPeA Log Koc (Landfill),1.37,log L/kg OC,,,,,,,"[2,3,4,5]",
Log partition coefficient,LogPartCoef,PFHxA,PFHxA Log Koc (Landfill),1.77,log L/kg OC,5,1.77,,,1.31,2.1,"[2,3,4,5]",
Log partition coefficient,LogPartCoef,PFHpA,PFHpA Log Koc (Landfill),1.97,log L/kg OC,,,,,,2.19,"[2,3,4,5]",
Log partition coefficient,LogPartCoef,PFNA,PFNA Log Koc (Landfill),2.63,log L/kg OC,5,2.63,,,2.3,3.18,"[2,3,4,5]",
Log partition coefficient,LogPartCoef,PFDA,PFDA Log Koc (Landfill),3.24,log L/kg OC,5,3.24,,,2.65,3.78,"[2,3,4,5]",
Log partition coefficient,LogPartCoef,PFBS,PFBS Log Koc (Landfill),1.51,log L/kg OC,,,,,,1.79,"[2,3,4,5]",
